node_id,I,E
HS1306571,5,5
HS1306601,5,5
HS1306904,5,5
HS1308259,5,5
HS1308302,5,5
HS1311339,5,5
HS1313001,5,5
HS1313025,5,5
HS1313140,5,5
HS1313205,5,5
HS1313253,5,5
HS1313298,5,5
HS1313402,5,5
HS1313597,5,5
HS1313835,5,5
HS1314237,5,5
HS1314477,5,5
HS1314505,5,5
HS1316202,5,5
HS1316563,5,5
HS1316585,5,5
HS1316643,5,5
HS1316721,5,5
HS1324403,5,5
HS1344263,5,5
HS2003015,5,5
HS2003046,5,5
HS2003111,5,5
MH0101924,5,5
MH0200661,5,5
MH0201629,5,5
MH0201710,5,5
MH0242782,5,5
VP0232532,5,5
HS1306471,5,0
HS1306554,5,0
HS1311288,5,0
HS1311473,5,0
HS1313471,5,0
HS1313618,5,0
HS1313925,5,0
HS1316415,5,0
HS1316417,5,0
HS1316814,5,0
HS1330842,5,0
HS1344261,5,0
HS1344902,5,0
HS1344920,5,0
HS2003085,5,0
MH0258475,5,0
