matrix_flow_score,node_id,I_scenario,E_scenario,I_start_hour,I_duration_h,E_start_hour,E_duration_h,I_flow,E_flow
153.1524,HS1306904,172,261,8.0,6.0,6.0,18.0,114.7473,-38.4051
150.89690000000002,HS1306601,98,256,14.0,6.0,12.0,6.0,86.3997,-64.4972
145.4388,HS1314477,157,331,20.0,18.0,0.0,6.0,136.289,-9.1498
96.72290000000001,HS1313402,1,313,8.0,12.0,0.0,6.0,61.7252,-34.9977
88.96109999999999,HS2003015,118,377,14.0,24.0,18.0,12.0,44.5072,-44.4539
86.9729,HS1316202,101,342,20.0,18.0,12.0,12.0,45.5119,-41.461
84.55510000000001,HS1306571,136,253,8.0,6.0,0.0,18.0,64.5455,-20.0096
72.9261,HS1324403,176,367,20.0,12.0,18.0,24.0,37.5994,-35.3267
68.883,HS1313835,161,322,20.0,12.0,18.0,24.0,40.906,-27.977
64.4719,HS2003046,42,382,14.0,12.0,12.0,18.0,44.5183,-19.9536
41.6413,HS1313205,166,296,20.0,12.0,12.0,18.0,37.6111,-4.0302
39.1142,MH0101924,196,394,20.0,24.0,0.0,6.0,20.9231,-18.1911
38.0683,HS1316563,52,348,2.0,18.0,18.0,18.0,27.8641,-10.2042
34.667699999999996,HS2003111,204,387,20.0,18.0,6.0,24.0,17.8327,-16.835
30.940600000000003,HS1308302,126,272,20.0,6.0,6.0,18.0,16.7922,-14.1484
25.481299999999997,HS1313298,38,308,8.0,18.0,0.0,12.0,19.2155,-6.2658
23.5672,HS1316585,226,353,20.0,12.0,0.0,24.0,15.107,-8.4602
22.413600000000002,HS1313025,67,287,8.0,6.0,12.0,6.0,13.3202,-9.0934
19.6312,HS1314505,46,337,2.0,24.0,0.0,6.0,15.0955,4.5357
15.966800000000001,HS1314237,91,327,20.0,18.0,0.0,18.0,13.6559,-2.3109
14.0835,HS1308259,22,268,2.0,12.0,18.0,6.0,7.3777,-6.7058
13.7935,HS1344263,77,374,8.0,6.0,18.0,18.0,8.4604,-5.3331
13.3568,HS1316721,152,365,2.0,18.0,0.0,6.0,9.9812,-3.3756
11.976600000000001,HS1316643,143,358,14.0,18.0,6.0,12.0,6.6496,-5.327
