node_id,I_scenario,E_scenario,metric,label,outside_peak,normal_width_median,outside_ratio,normal_abs_q95,defect_abs_peak,defect_abs_to_normal_q95,matrix_flow_score
HS1306571,136,253,depth_residual,Depth residual,0.028850802990332963,0.03900087818725889,0.7397475218842167,0.028083910599115487,0.038190434067757406,1.359868809330287,84.55510000000001
HS1306601,98,256,depth_residual,Depth residual,0.014703487827466223,0.030886782443951755,0.4760446593667596,0.02258120506557078,0.026267563743533645,1.1632489792842544,150.89690000000002
HS1313298,38,308,total_outflow_residual,Total outflow residual,0.18923709509778952,5.795982528174944,0.032649700750112,4.386837821337645,0.005243317461867791,0.0011952385010369467,25.481299999999997
HS1306571,136,253,total_outflow_residual,Total outflow residual,0.5644936914874142,20.856305346138658,0.027065852849719844,15.840742437014821,2.612379574861584,0.16491522321310373,84.55510000000001
HS1306601,98,256,total_outflow_residual,Total outflow residual,0.0,26.34581148302356,0.0,19.982880208803454,6.186015030879673,0.3095657365825786,150.89690000000002
HS1314477,157,331,pollut_NH4_residual,NH4 residual,0.0,3.5124541934329008,0.0,2.48981359733012,0.28352037582975775,0.11387212927657825,145.4388
HS1313205,166,296,depth_residual,Depth residual,0.0,0.01691171697488922,0.0,0.012132242886801271,0.00036322346028241914,0.029938690122794345,41.6413
HS1308259,22,268,total_outflow_residual,Total outflow residual,0.0,2.3110686777148404,0.0,1.700870740038646,0.044906363828744134,0.026401985037219113,14.0835
HS1306571,136,253,pollut_NH4_residual,NH4 residual,0.0,4.394529347069271,0.0,3.175550963413434,0.061660792615406024,0.019417352555767577,84.55510000000001
HS1344263,77,374,total_outflow_residual,Total outflow residual,0.0,2.649632654792671,0.0,1.9284131807329483,0.03653421883167596,0.018945223563443022,13.7935
HS1306571,136,253,pollut_TSSs_residual,TSSs residual,0.0,23.38108130165986,0.0,17.211811393916943,0.26605146894283394,0.015457493860109504,84.55510000000001
HS1306601,98,256,pollut_NH4_residual,NH4 residual,0.0,4.085232749463038,0.0,3.008207289259336,0.04590490822781135,0.015259888635903744,150.89690000000002
HS1306601,98,256,pollut_TSSs_residual,TSSs residual,0.0,22.165401472837132,0.0,15.993418125742458,0.2073727065576918,0.012966127998861718,150.89690000000002
HS1314505,46,337,pollut_NH4_residual,NH4 residual,0.0,1.2497287865066427,0.0,0.9729352621235563,0.009169812058274829,0.009424894353464521,19.6312
HS1313298,38,308,depth_residual,Depth residual,0.0,0.01573861548707868,0.0,0.011962479659685728,7.40057767994809e-05,0.006186491338320498,25.481299999999997
HS1316585,226,353,total_outflow_residual,Total outflow residual,0.0,4.357607619725107,0.0,3.4799225946424803,0.020270490628241156,0.005824983193433273,23.5672
HS1316721,152,365,total_outflow_residual,Total outflow residual,0.0,3.2405882058983946,0.0,2.474558692057255,0.013998710790062319,0.005657053451589106,13.3568
HS2003111,204,387,depth_residual,Depth residual,0.0,0.01965136726914437,0.0,0.013931192455347362,6.998354484660796e-05,0.005023514323768128,34.667699999999996
MH0101924,196,394,depth_residual,Depth residual,0.0,0.011512990599649144,0.0,0.008308056428477647,4.162672687442123e-05,0.005010404928370093,39.1142
HS1316643,143,358,total_outflow_residual,Total outflow residual,0.0,2.048607354180616,0.0,1.6124215090063727,0.007492951724321628,0.004647017967987187,11.976600000000001
HS1308259,22,268,depth_residual,Depth residual,0.0,0.011506036493004284,0.0,0.007988528145124851,3.544984601883128e-05,0.004437594181910119,14.0835
HS1314477,157,331,pollut_TSSs_residual,TSSs residual,0.0,20.56302359104634,0.0,14.169997426437202,0.0518762361495817,0.0036609912188689136,145.4388
HS1313298,38,308,pollut_TSSs_residual,TSSs residual,0.0,21.3846966810926,0.0,16.212254607678904,0.05856739347737516,0.003612538471338516,25.481299999999997
HS1313402,1,313,pollut_TSSs_residual,TSSs residual,0.0,21.776044633786995,0.0,16.120313055335956,0.05746376203330783,0.0035646802786058088,96.72290000000001
MH0101924,196,394,pollut_NH4_residual,NH4 residual,0.0,3.4479505161443402,0.0,2.572155571092683,0.008945942431985543,0.0034779943066138874,39.1142
HS1313835,161,322,pollut_NH4_residual,NH4 residual,0.0,3.821647939463986,0.0,2.826705711434167,0.00956378033790628,0.0033833661209302073,68.883
HS1314505,46,337,pollut_TSSs_residual,TSSs residual,0.0,21.43142673284344,0.0,15.49124259115906,0.05142365850245767,0.0033195309026924314,19.6312
HS2003046,42,382,pollut_NH4_residual,NH4 residual,0.0,3.8155444834507737,0.0,2.6427814007587704,0.0085340516770529,0.0032291931805644935,64.4719
HS1313298,38,308,pollut_NH4_residual,NH4 residual,0.0,3.9186879091212385,0.0,3.0120357811997516,0.00960891973103628,0.003190174496270049,25.481299999999997
HS2003111,204,387,pollut_NH4_residual,NH4 residual,0.0,4.258529061844716,0.0,3.0560103908218563,0.009436827124883251,0.003087956491648379,34.667699999999996
HS1316563,52,348,pollut_NH4_residual,NH4 residual,0.0,3.6046804026804717,0.0,2.7345377191188485,0.008249112361621513,0.003016638718839698,38.0683
HS2003015,118,377,pollut_NH4_residual,NH4 residual,0.0,3.283891776433399,0.0,2.3623790614103557,0.0068820045631738935,0.002913166932264161,88.96109999999999
HS1313402,1,313,pollut_NH4_residual,NH4 residual,0.0,3.81372023513794,0.0,2.794640207373867,0.008135086906040812,0.002910960374997746,96.72290000000001
HS1316721,152,365,pollut_NH4_residual,NH4 residual,0.0,4.649459489711097,0.0,3.2649268501428836,0.009388310389876864,0.0028755040528598676,13.3568
HS1316585,226,353,pollut_NH4_residual,NH4 residual,0.0,3.904081449261745,0.0,2.942706524679835,0.008440498645665429,0.0028682774088672506,23.5672
HS2003046,42,382,pollut_TSSs_residual,TSSs residual,0.0,20.09418715162713,0.0,14.354551611248548,0.040767553212646135,0.0028400436542162536,64.4719
HS1313205,166,296,total_outflow_residual,Total outflow residual,0.0,10.951412738428154,0.0,8.419499723529905,0.023765496917870443,0.0028226732820541833,41.6413
MH0101924,196,394,pollut_TSSs_residual,TSSs residual,0.0,21.58382074148863,0.0,16.09536146849239,0.04486939033904491,0.0027877218182940076,39.1142
HS2003015,118,377,depth_residual,Depth residual,0.0,0.01668811442448284,0.0,0.011886678468833924,3.2504259414478653e-05,0.0027345115374074135,88.96109999999999
HS1344263,77,374,depth_residual,Depth residual,0.0,0.01746106305074839,0.0,0.012275633344524308,3.338714515617458e-05,0.0027197900278658383,13.7935
HS1308302,126,272,pollut_NH4_residual,NH4 residual,0.0,4.730600556176944,0.0,3.425622505000862,0.009268542984102623,0.0027056521757934594,30.940600000000003
HS1313205,166,296,pollut_NH4_residual,NH4 residual,0.0,3.914348703978475,0.0,2.7794970066501095,0.007388654651453663,0.0026582704114362686,41.6413
HS1314237,91,327,pollut_NH4_residual,NH4 residual,0.0,3.8923708177480396,0.0,2.8843953569041583,0.0075626445932357456,0.0026219167823625903,15.966800000000001
HS1306904,172,261,pollut_NH4_residual,NH4 residual,0.0,4.1991420420381225,0.0,3.0864989216427263,0.007927236846860808,0.002568358858405723,153.1524
HS1316643,143,358,pollut_NH4_residual,NH4 residual,0.0,4.241718167042811,0.0,3.1392365854631623,0.00804784213387677,0.002563630333293084,11.976600000000001
HS1316202,101,342,pollut_TSSs_residual,TSSs residual,0.0,21.11247935333994,0.0,15.744818889984733,0.039904259544925935,0.0025344375075860037,86.9729
HS1316202,101,342,pollut_NH4_residual,NH4 residual,0.0,3.9115577439247033,0.0,2.8678275620331015,0.007263881882224155,0.0025328865578914165,86.9729
HS1314237,91,327,depth_residual,Depth residual,0.0,0.02249179740217184,0.0,0.016241285710943486,4.073242781511138e-05,0.0025079558687687888,15.966800000000001
