node_id,x,y,x_km,y_km,is_candidate,is_monitor,node_class
HS1306471,526922.926,385280.162,1.871606000000029,1.5753420000000042,True,False,candidate
HS1306554,525420.69,384515.696,0.36936999999999537,0.8108759999999893,True,False,candidate
HS1306571,525609.67,384609.05,0.5583500000000932,0.9042299999999813,True,True,overlap
HS1306601,525856.568,384729.481,0.8052480000000214,1.0246610000000218,True,True,overlap
HS1308259,526691.442,385139.641,1.6401220000000902,1.4348209999999963,True,False,candidate
HS1308301,526289.497,384940.498,1.2381770000000252,1.2356780000000145,False,True,monitor
HS1308302,526337.734,384962.962,1.286414000000106,1.2581419999999925,True,False,candidate
HS1308324,526569.315,385075.461,1.5179949999999953,1.3706410000000033,False,True,monitor
HS1311284,526050.881,383912.51,0.9995610000001034,0.20769000000000232,False,False,all
HS1311288,526196.386,383961.566,1.145066000000108,0.25674599999998465,True,False,candidate
HS1311339,526838.951,384300.26,1.7876310000000522,0.5954400000000023,True,False,candidate
HS1311349,527110.196,384462.063,2.0588760000000477,0.7572430000000168,False,False,all
HS1311473,525750.232,383794.477,0.6989120000000112,0.08965700000000652,True,False,candidate
HS1311475,525737.621,383800.137,0.6863010000000941,0.0953169999999809,False,False,all
HS1311887,526436.38,384095.571,1.385060000000056,0.3907509999999893,False,False,all
HS1313001,525922.159,383867.078,0.8708390000000363,0.16225799999997254,True,True,overlap
HS1313025,525844.405,384060.973,0.7930850000000792,0.35615299999999117,True,True,overlap
HS1313026,525973.866,384110.932,0.9225460000000895,0.4061119999999646,False,False,all
HS1313044,525799.411,384167.165,0.7480910000000149,0.4623449999999721,False,True,monitor
HS1313083,525524.274,384053.723,0.472954000000027,0.34890299999999114,False,False,all
HS1313123,525720.2,384136.51,0.6688800000000047,0.43169000000000235,False,False,all
HS1313140,525997.431,384265.012,0.9461110000000336,0.5601919999999809,True,False,candidate
HS1313167,526057.838,384300.898,1.00651800000004,0.5960779999999795,False,False,all
HS1313205,525947.258,384526.879,0.895938000000082,0.8220590000000084,True,True,overlap
HS1313220,525892.531,384649.103,0.8412110000000103,0.9442829999999958,False,False,all
HS1313253,526119.436,384172.976,1.0681160000000383,0.4681560000000172,True,True,overlap
HS1313283,526202.898,384002.483,1.151578000000096,0.29766300000000046,False,False,all
HS1313290,525647.295,384385.733,0.5959750000000932,0.6809130000000004,False,False,all
HS1313298,525587.619,384356.394,0.5362989999999991,0.6515739999999641,True,True,overlap
HS1313343,525327.258,384230.608,0.27593800000008195,0.5257880000000005,False,False,all
HS1313391,526050.778,384579.514,0.9994580000001005,0.8746940000000177,False,True,monitor
HS1313415,526108.856,384464.694,1.0575360000000802,0.7598740000000107,False,False,all
HS1313471,526300.678,384271.887,1.2493580000000075,0.5670669999999809,True,False,candidate
HS1313487,526223.03,384232.386,1.171710000000079,0.5275659999999917,False,True,monitor
HS1313508,526127.845,384190.069,1.0765250000000233,0.4852490000000107,False,False,all
HS1313534,526187.211,384357.24,1.1358910000000615,0.6524199999999837,False,False,all
HS1313569,526240.97,384530.05,1.1896500000000232,0.8252299999999814,False,False,all
HS1313597,526344.349,384574.762,1.2930290000000968,0.8699419999999809,True,True,overlap
HS1313613,526416.559,384615.833,1.3652390000000596,0.9110129999999772,False,False,all
HS1313618,526554.88,384182.312,1.503560000000056,0.4774919999999693,True,False,candidate
HS1313640,526501.156,384289.092,1.4498360000000103,0.5842719999999972,False,True,monitor
HS1313676,525644.657,384178.966,0.5933370000000577,0.4741460000000079,False,False,all
HS1313740,526391.562,384488.99,1.3402420000000856,0.7841699999999837,False,False,all
HS1313794,526282.959,384690.066,1.231639000000083,0.9852459999999846,False,True,monitor
HS1313803,526197.237,384649.668,1.1459170000000158,0.9448479999999981,False,False,all
HS1313835,526399.137,384747.378,1.3478170000000391,1.0425580000000192,True,True,overlap
HS1313839,526495.491,384509.729,1.4441710000000894,0.8049089999999851,False,False,all
HS1313865,526349.57,384437.892,1.29825,0.7330719999999855,False,False,all
HS1313925,526491.165,384359.697,1.4398450000000884,0.6548769999999786,True,False,candidate
HS1313959,526602.875,384417.53,1.5515550000000513,0.7127100000000209,False,True,monitor
HS1313965,526696.606,384260.262,1.6452860000000802,0.5554419999999809,False,False,all
HS1314210,525457.947,384559.83,0.406627000000095,0.8550100000000093,False,False,all
HS1314237,525371.635,384662.133,0.3203150000000605,0.9573129999999656,True,False,candidate
HS1314268,525268.159,384791.287,0.2168390000000363,1.0864670000000043,False,False,all
HS1316010,526598.062,384334.755,1.5467420000000858,0.6299349999999977,False,False,all
HS1316177,526549.64,384819.78,1.4983200000000652,1.114960000000021,False,False,all
HS1316202,526642.345,384856.947,1.5910250000000232,1.1521269999999786,True,False,candidate
HS1316207,526708.829,384886.71,1.6575090000000783,1.1818900000000139,False,False,all
HS1316267,526678.458,384600.662,1.6271380000000355,0.8958420000000042,False,True,monitor
HS1316302,526786.375,384426.5,1.7350550000000513,0.721679999999993,False,False,all
HS1316334,526847.972,384321.537,1.796652000000002,0.6167170000000042,False,False,all
HS1316344,526575.124,384548.995,1.5238040000000037,0.8441749999999884,False,False,all
HS1316396,526774.442,384639.191,1.7231220000000904,0.9343709999999846,False,False,all
HS1316415,526716.327,384634.88,1.6650070000000996,0.9300599999999977,True,False,candidate
HS1316417,526519.608,384548.768,1.4682880000000587,0.8439479999999748,True,False,candidate
HS1316445,526659.675,384813.523,1.6083550000000977,1.1087029999999796,False,False,all
HS1316467,527025.45,384846.1,1.9741300000000046,1.1412799999999697,False,True,monitor
HS1316530,526679.361,384923.0,1.6280410000000847,1.218179999999993,False,False,all
HS1316532,526721.329,384874.504,1.6700090000000782,1.1696840000000084,False,False,all
HS1316554,526832.159,384762.882,1.7808390000000363,1.0580619999999763,False,False,all
HS1316563,526891.504,384705.685,1.8401840000000085,1.0008649999999908,True,True,overlap
HS1316566,526920.648,384677.446,1.869328000000096,0.9726259999999893,False,False,all
HS1316585,527001.638,384599.072,1.9503180000000866,0.8942519999999786,True,False,candidate
HS1316643,527134.393,384746.899,2.083073000000091,1.042078999999969,True,False,candidate
HS1316671,527248.781,384638.351,2.1974610000000103,0.9335310000000172,False,False,all
HS1316676,527115.624,384765.017,2.064304000000004,1.0601969999999856,False,False,all
HS1316677,527098.397,384780.366,2.047077000000048,1.075545999999973,False,False,all
HS1316707,526945.914,384919.791,1.894594000000041,1.2149710000000196,False,False,all
HS1316721,526866.129,384993.909,1.8148090000000083,1.2890889999999782,True,False,candidate
HS1316726,526854.569,385003.699,1.803249000000069,1.2988790000000154,False,False,all
HS1316786,526831.9,384957.583,1.7805800000000744,1.2527629999999772,False,False,all
HS1316811,527035.794,385177.276,1.9844740000000456,1.4724560000000055,False,False,all
HS1316814,527100.795,385086.207,2.049475000000093,1.381386999999988,True,False,candidate
HS1316835,527042.725,385024.951,1.9914050000000278,1.320130999999994,False,False,all
HS1316849,527001.707,384980.692,1.9503870000001042,1.275871999999974,False,False,all
HS1316892,527144.13,384976.139,2.092810000000056,1.2713190000000176,False,False,all
HS1317102,526021.264,384129.851,0.9699440000000177,0.42503100000001726,False,False,all
HS1318293,525695.894,384409.319,0.6445740000000224,0.7044990000000108,False,True,monitor
HS1324403,525766.044,384242.11,0.7147240000000457,0.5372899999999791,True,False,candidate
HS1330826,525567.48,384628.626,0.5161600000000326,0.9238059999999823,False,False,all
HS1330842,525535.051,384807.811,0.4837310000000289,1.10299099999998,True,False,candidate
HS1344159,526449.563,384770.979,1.3982430000000168,1.0661589999999852,False,False,all
HS1344166,525396.868,384000.57,0.34554800000006797,0.29575,False,False,all
HS1344261,526828.56,384451.451,1.7772400000001072,0.7466309999999939,True,False,candidate
HS1344263,527127.986,384474.107,2.0766660000000847,0.7692870000000112,True,False,candidate
HS1344902,527262.014,384934.412,2.2106940000000175,1.2295920000000042,True,False,candidate
HS1344920,525671.255,384125.946,0.6199350000000559,0.4211259999999893,True,False,candidate
HS2003070,525550.635,384946.984,0.4993150000000605,1.2421639999999898,False,False,all
HS2003085,525414.841,384903.538,0.3635210000000661,1.1987179999999935,True,False,candidate
HS2003111,525246.278,384847.449,0.19495800000010058,1.1426290000000154,True,False,candidate
HS2003125,525147.608,384813.069,0.09628800000005867,1.1082490000000107,False,False,all
MH0100334,526325.919,384292.248,1.2745990000000456,0.5874280000000144,False,False,all
MH0200661,525386.816,383995.636,0.3354960000000428,0.29081599999999164,True,False,candidate
MH0201597,525194.89,384405.245,0.1435700000000652,0.7004249999999883,False,False,all
MH0201629,525051.32,384669.729,0.0,0.9649089999999851,True,False,candidate
MH0201710,525237.146,384318.811,0.18582600000000093,0.61399099999998,True,False,candidate
MH0241587,526403.197,384467.486,1.351877000000095,0.7626659999999683,False,False,all
MH0242298,526266.673,385004.242,1.2153530000000028,1.2994220000000205,False,False,all
MH0242303,526241.743,385075.4,1.190423000000068,1.3705800000000163,False,False,all
MH0242782,527256.905,384632.546,2.205585000000079,0.927725999999966,True,False,candidate
MH0258475,527367.771,384808.104,2.316451000000001,1.103283999999985,True,False,candidate
VP0232532,525529.834,383704.82,0.4785140000000829,0.0,True,False,candidate
YS2003067,525519.512,384938.28,0.46819200000003913,1.2334600000000209,False,False,all
MH0100819,525912.201,385405.111,0.8608810000000522,1.7002909999999682,False,False,all
1,526438.522,385291.004,1.3872020000000485,1.5861840000000085,False,False,all
HS1314512,526317.995,385209.223,1.2666750000000466,1.504402999999991,False,False,all
HS1314477,526422.572,385237.147,1.371252000000095,1.5323269999999902,True,False,candidate
HS2003013,525973.95,385093.968,0.9226300000000046,1.3891479999999865,False,True,monitor
HS1314769,526016.554,385107.898,0.965234000000055,1.4030779999999796,False,False,all
HS1314505,526207.029,385171.006,1.1557090000000316,1.4661859999999869,True,False,candidate
HS2003015,525935.618,385081.008,0.884298000000068,1.3761879999999655,True,False,candidate
HS2003023,525825.8,385042.156,0.7744800000000978,1.3373360000000103,False,False,all
HS2003046,525687.252,384995.686,0.6359320000000298,1.29086599999998,True,False,candidate
HS1306904,526055.383,384825.789,1.0040630000000819,1.1209689999999828,True,True,overlap
HS1313402,526150.125,384626.564,1.0988050000000513,0.921744000000006,True,True,overlap
MH0101924,526238.59,384466.088,1.1872700000000187,0.7612679999999818,True,False,candidate
MH0100292,526267.889,384399.839,1.2165690000000178,0.6950189999999711,False,True,monitor
HS2003014,525978.892,385114.871,0.9275720000000438,1.4100509999999777,False,False,all
