row_index,scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,active_peak_response_index
0,138,I,HS1306571,2,6,53.7879,53.7879,2.3862647588127697
1,172,I,HS1306904,8,6,114.7473,114.7473,11.157097915405657
2,173,I,HS1306904,8,6,95.6227,95.6227,9.313688231048175
3,136,I,HS1306571,8,6,64.5455,64.5455,2.7568475907642704
4,45,I,HS2003046,8,6,44.5183,44.5183,1.1072129420055719
5,140,I,HS1306571,8,6,43.0303,43.0303,1.848304850633268
6,98,I,HS1306601,14,6,86.3997,86.3997,3.209547384147366
7,102,I,HS1316202,14,6,45.5119,45.5119,11.826246755832692
8,100,I,HS1306601,2,12,86.3997,86.3997,2.9971926062955023
9,1,I,HS1313402,8,12,61.7252,61.7252,4.550631386902505
10,5,I,HS1313402,8,12,41.1501,41.1501,3.100201171674185
11,159,I,HS1314477,14,12,136.289,136.289,0.41410090728097004
12,42,I,HS2003046,14,12,44.5183,44.5183,1.4069812199230496
13,171,I,HS1306904,20,12,76.4982,76.4982,7.726698383106164
14,3,I,HS1313402,20,12,61.7252,61.7252,5.225274074680204
15,139,I,HS1306571,20,12,53.7879,53.7879,2.3880613039276715
16,158,I,HS1314477,2,18,136.289,136.289,0.42677260240459564
17,4,I,HS1313402,2,18,61.7252,61.7252,5.214041948297753
18,160,I,HS1314477,8,18,136.289,136.289,0.3832278222104868
19,99,I,HS1306601,8,18,86.3997,86.3997,3.2096003932583588
20,137,I,HS1306571,14,18,64.5455,64.5455,2.851294288610423
21,157,I,HS1314477,20,18,136.289,136.289,0.42674855784580096
22,156,I,HS1314477,20,18,113.5742,113.5742,0.367734987490726
23,174,I,HS1306904,20,18,76.4982,76.4982,7.726698383106164
24,175,I,HS1306904,2,24,95.6227,95.6227,9.634557166339437
25,105,I,HS1316202,2,24,30.3413,30.3413,8.32630818907141
26,118,I,HS2003015,14,24,44.5072,44.5072,0.32390878485049285
27,96,I,HS1306601,20,24,71.9998,71.9998,2.541291334599344
28,103,I,HS1316202,20,24,37.9266,37.9266,10.434153381728532
29,162,I,HS1313835,20,24,34.0883,34.0883,1.793929627376355
30,168,I,HS1313205,20,24,31.3426,31.3426,4.744163187261744
31,196,I,MH0101924,20,24,20.9231,20.9231,1.5459917689700613
32,313,E,HS1313402,0,6,-34.9977,34.9977,8.271221565974336
33,315,E,HS1313402,0,6,-29.1647,29.1647,4.522933810202941
34,394,E,MH0101924,0,6,-18.1911,18.1911,6.838689266228492
35,311,E,HS1313402,6,6,-23.3318,23.3318,1.791475111929435
36,390,E,HS2003111,6,6,-16.835,16.835,0.7683421496378158
37,251,E,HS1306571,6,6,-16.6747,16.6747,0.718763171104105
38,256,E,HS1306601,12,6,-64.4972,64.4972,2.2003198964939052
39,254,E,HS1306571,12,6,-16.6747,16.6747,0.715694859188181
40,263,E,HS1306904,0,12,-38.4051,38.4051,13.927290389971944
41,376,E,HS2003015,0,12,-37.0449,37.0449,7.0736231854644895
42,323,E,HS1313835,0,12,-27.977,27.977,4.336447195711093
43,378,E,HS2003015,6,12,-44.4539,44.4539,0.21171878801420752
44,342,E,HS1316202,12,12,-41.461,41.461,7.177714777268329
45,344,E,HS1316202,12,12,-34.5508,34.5508,5.902637516915814
46,370,E,HS1324403,12,12,-29.4389,29.4389,2.5579431310906178
47,377,E,HS2003015,18,12,-44.4539,44.4539,3.0717264168821385
48,260,E,HS1306601,0,18,-53.7476,53.7476,7.36539397698405
49,379,E,HS2003015,0,18,-29.636,29.636,7.0736231854644895
50,314,E,HS1313402,0,18,-23.3318,23.3318,1.9965609334637544
51,253,E,HS1306571,0,18,-20.0096,20.0096,1.5998801878962954
52,257,E,HS1306601,6,18,-64.4972,64.4972,2.200460325646705
53,261,E,HS1306904,6,18,-38.4051,38.4051,2.558367992717839
54,265,E,HS1306904,12,18,-25.6034,25.6034,2.411430717899858
55,258,E,HS1306601,18,18,-53.7476,53.7476,1.995779299386343
56,259,E,HS1306601,0,24,-64.4972,64.4972,8.029563799317721
57,264,E,HS1306904,0,24,-38.4051,38.4051,13.927290389971944
58,380,E,HS2003015,0,24,-29.636,29.636,7.0736231854644895
59,343,E,HS1316202,6,24,-41.461,41.461,5.9657533757109
60,341,E,HS1316202,6,24,-27.6407,27.6407,3.833439322159301
61,345,E,HS1316202,12,24,-34.5508,34.5508,6.14168637439997
62,367,E,HS1324403,18,24,-35.3267,35.3267,4.969751052337002
63,322,E,HS1313835,18,24,-27.977,27.977,1.912363222853199
