row_index,scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,active_peak_response_index
0,189,I,HS1313925,2,6,0.8005,0.8005,0.05815475661687113
1,13,I,VP0232532,2,6,0.5776,0.5776,0.121093709433775
2,147,I,HS1311473,8,6,0.74,0.74,0.13500021493401887
3,33,I,HS1311288,8,6,0.1798,0.1798,0.03882714040419149
4,14,I,VP0232532,14,6,0.5776,0.5776,0.11118446093884626
5,12,I,VP0232532,20,6,0.8664,0.8664,0.1537745385252306
6,150,I,HS1311473,20,6,0.74,0.74,0.10508847553258659
7,31,I,HS1311288,20,6,0.2158,0.2158,0.0340065690857775
8,29,I,HS1311339,2,12,2.4015,2.4015,0.2944106896759158
9,8,I,MH0258475,2,12,1.1101,1.1101,0.19856722380412978
10,247,I,HS1344920,8,12,2.5461,2.5461,0.2918566895654147
11,7,I,MH0258475,8,12,1.1101,1.1101,0.16543930664713524
12,89,I,MH0200661,20,12,1.7404,1.7404,0.33423081772301066
13,57,I,HS1316814,20,12,1.397,1.397,0.8209135696655452
14,10,I,MH0258475,20,12,1.3876,1.3876,0.22148961021591612
15,146,I,HS1311473,20,12,0.74,0.74,0.1349987612727063
16,186,I,HS1313925,2,18,1.2007,1.2007,0.08710239951008181
17,34,I,HS1311288,2,18,0.2158,0.2158,0.06211990149751213
18,60,I,HS1316814,8,18,1.397,1.397,0.6825125375552897
19,244,I,HS1344261,8,18,1.2662,1.2662,2.3841300247700845
20,56,I,HS1316814,14,18,1.397,1.397,0.8206745124329906
21,148,I,HS1311473,14,18,0.74,0.74,0.1541829085316024
22,187,I,HS1313925,20,18,1.2007,1.2007,0.09745892930343428
23,243,I,HS1344261,20,18,1.013,1.013,1.9885618101657077
24,115,I,HS1306471,8,24,1.2848,1.2848,0.09691582029111691
25,113,I,HS1306471,8,24,0.8566,0.8566,0.06491135816943004
26,149,I,HS1311473,14,24,1.11,1.11,0.23191933902611614
27,190,I,HS1313925,14,24,1.0006,1.0006,0.08680411811669834
28,112,I,HS1306471,14,24,0.8566,0.8566,0.07583464585815716
29,15,I,VP0232532,14,24,0.722,0.722,0.13648555539867466
30,32,I,HS1311288,14,24,0.1798,0.1798,0.043500883366525224
31,35,I,HS1311288,14,24,0.1439,0.1439,0.034861049622949246
32,363,E,HS1316721,0,6,-2.7005,2.7005,0.514306552095911
33,419,E,VP0232532,0,6,-0.8643,0.8643,0.21612738044743132
34,317,E,HS1313597,6,6,-1.7301,1.7301,0.16031040462142832
35,302,E,HS1313253,6,6,-0.0,0.0,0.0
36,279,E,HS1311339,12,6,-1.1458,1.1458,0.14277669199032705
37,318,E,HS1313597,18,6,-1.7301,1.7301,0.1679210987172883
38,396,E,MH0200661,18,6,-0.5606,0.5606,0.08659397080253747
39,301,E,HS1313253,18,6,-0.0,0.0,0.0
40,397,E,MH0200661,0,12,-0.8409,0.8409,0.18969813107091427
41,283,E,HS1313001,0,12,-0.7403,0.7403,0.7350020681855829
42,416,E,VP0232532,0,12,-0.7202,0.7202,0.19818574628853813
43,400,E,MH0200661,6,12,-0.5606,0.5606,0.09481940259615126
44,304,E,HS1313253,6,12,-0.0,0.0,0.0
45,398,E,MH0200661,12,12,-0.5606,0.5606,0.09579169610259734
46,303,E,HS1313253,12,12,-0.0,0.0,0.0
47,305,E,HS1313253,12,12,-0.0,0.0,0.0
48,316,E,HS1313597,0,18,-1.4417,1.4417,0.16836058124078537
49,417,E,VP0232532,0,18,-0.8643,0.8643,0.2829854283205206
50,414,E,MH0242782,6,18,-1.6645,1.6645,0.22026444443664625
51,282,E,HS1313001,6,18,-1.1105,1.1105,0.6781555309344386
52,420,E,VP0232532,6,18,-0.5762,0.5762,0.11544233353083579
53,277,E,HS1311339,12,18,-1.1458,1.1458,0.1510307920032479
54,412,E,MH0242782,18,18,-1.3871,1.3871,0.2068065443897268
55,284,E,HS1313001,18,18,-0.7403,0.7403,0.65390607855483
56,413,E,MH0242782,0,24,-1.1097,1.1097,0.1599057033327969
57,399,E,MH0200661,0,24,-0.8409,0.8409,0.18969813107091427
58,330,E,HS1314237,6,24,-2.3109,2.3109,0.20285992344785406
59,281,E,HS1313001,6,24,-0.7403,0.7403,0.4468550234070259
60,328,E,HS1314237,12,24,-2.3109,2.3109,0.20818931024423432
61,319,E,HS1313597,12,24,-1.4417,1.4417,0.14581021470154615
62,276,E,HS1311339,12,24,-1.4322,1.4322,0.18705490364769245
63,411,E,MH0242782,12,24,-1.3871,1.3871,0.1949414321427656
