row_index,scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,active_peak_response_index
0,210,I,MH0242782,2,6,5.3314,5.3314,0.6608917199091568
1,63,I,HS1316417,2,6,4.7895,4.7895,0.3407600312502774
2,122,I,HS1313140,8,6,5.4027,5.4027,0.5538987242781322
3,123,I,HS1313140,14,6,5.4027,5.4027,0.5222251166025523
4,206,I,MH0242782,14,6,5.3314,5.3314,0.7087778976520029
5,65,I,HS1316417,14,6,4.7895,4.7895,0.38223061767505523
6,208,I,MH0242782,20,6,5.3314,5.3314,0.7500335937626971
7,61,I,HS1316417,20,6,4.7895,4.7895,0.32731660481334424
8,47,I,HS1314505,2,12,15.0955,15.0955,0.055646514721103366
9,220,I,HS1306554,8,12,13.3522,13.3522,5.077500396223819
10,36,I,HS1313298,8,12,12.8103,12.8103,4.331747562213392
11,200,I,MH0101924,14,12,13.9487,13.9487,1.0260772479765456
12,49,I,HS1314505,14,12,12.5795,12.5795,0.049085000499623985
13,80,I,HS1344263,14,12,8.4604,8.4604,1.2197099947347918
14,92,I,HS1314237,20,12,13.6559,13.6559,1.1219166601620725
15,72,I,MH0201710,20,12,9.4275,9.4275,5.377665875368558
16,152,I,HS1316721,2,18,9.9812,9.9812,0.6027531207886103
17,25,I,HS1308259,2,18,7.3777,7.3777,0.9555304324648993
18,79,I,HS1344263,8,18,5.6403,5.6403,0.8137221207910985
19,129,I,HS1308302,14,18,11.1948,11.1948,0.37110099661504986
20,153,I,HS1316721,14,18,9.9812,9.9812,0.5921222571386819
21,24,I,HS1308259,14,18,7.3777,7.3777,1.19712754066927
22,143,I,HS1316643,14,18,6.6496,6.6496,4.584496384169463
23,229,I,HS1316585,20,18,10.0713,10.0713,6.553381014940356
24,21,I,HS1308259,2,24,6.1481,6.1481,0.8023036564745313
25,213,I,HS1344902,2,24,2.9322,2.9322,2.305816957608581
26,193,I,HS1313001,2,24,2.821,2.821,2.120653358868653
27,207,I,MH0242782,14,24,5.3314,5.3314,0.7499135270358113
28,23,I,HS1308259,14,24,4.9184,4.9184,0.8680922444883664
29,221,I,HS1330842,14,24,4.3084,4.3084,0.7509024336839064
30,191,I,HS1313001,14,24,4.2315,4.2315,2.8565719527838223
31,240,I,HS1313597,20,24,3.3102,3.3102,0.32525651418290086
32,352,E,HS1316585,0,6,-5.6401,5.6401,4.314877430435568
33,307,E,HS1313298,0,6,-5.2215,5.2215,2.5135061720394605
34,337,E,HS1314505,0,6,4.5357,4.5357,0.02481715045931726
35,291,E,HS1313140,6,6,5.3905,5.3905,0.5513854374835686
36,335,E,HS1314477,12,6,-7.3199,7.3199,0.032729984132346845
37,350,E,HS1316563,12,6,-6.8028,6.8028,3.5225734826450497
38,268,E,HS1308259,18,6,-6.7058,6.7058,0.72311907371193
39,293,E,HS1313140,18,6,5.3905,5.3905,0.5409835067387045
40,269,E,HS1308259,0,12,-4.4706,4.4706,1.280126939049583
41,336,E,HS1314505,0,12,3.7797,3.7797,0.0208189632761993
42,358,E,HS1316643,6,12,-5.327,5.327,3.6506141330119326
43,306,E,HS1313298,6,12,-5.2215,5.2215,1.8564998991438726
44,300,E,HS1313205,6,12,-4.0302,4.0302,0.6230118095316871
45,372,E,HS1344263,6,12,-3.5554,3.5554,0.4844174629716327
46,294,E,HS1313140,18,12,4.4921,4.4921,0.5003853310771874
47,371,E,HS1344263,18,12,-3.5554,3.5554,0.510156786383882
48,354,E,HS1316585,0,18,-7.0502,7.0502,5.337311514832436
49,289,E,HS1313025,0,18,-6.0623,6.0623,0.9787028560739154
50,349,E,HS1316563,12,18,-6.8028,6.8028,4.140809942736079
51,359,E,HS1316643,12,18,-5.327,5.327,3.664028727854532
52,338,E,HS1314505,12,18,4.5357,4.5357,0.016482521177257684
53,296,E,HS1313205,12,18,-4.0302,4.0302,0.6630709412424273
54,267,E,HS1308259,18,18,-5.5882,5.5882,1.407360713208238
55,374,E,HS1344263,18,18,-5.3331,5.3331,0.816214530030756
56,353,E,HS1316585,0,24,-8.4602,8.4602,6.200828167581089
57,270,E,HS1308259,0,24,-5.5882,5.5882,1.366465772196812
58,386,E,HS2003111,6,24,-11.2233,11.2233,0.5425932779610386
59,288,E,HS1313025,6,24,-7.5778,7.5778,1.3810895756760684
60,286,E,HS1313025,12,24,-7.5778,7.5778,3.125725758260896
61,275,E,HS1308302,18,24,-11.7904,11.7904,1.34071951102415
62,290,E,HS1313025,18,24,-9.0934,9.0934,5.556482740819617
63,351,E,HS1316585,18,24,-5.6401,5.6401,3.737412171980756
