scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,time_to_peak_hours,dominant_hop_band,peak_response_index,peak_exceedance_rate,flow_rank_pct,peak_phase
1,I,HS1313402,8,12,61.7252,61.7252,5.666667,3+-hop,4.550631386902505,0.14655172413793102,0.932,2-6 h
2,I,HS1313402,20,18,51.4377,51.4377,4.666667,3+-hop,4.373546131249538,0.12931034482758622,0.912,2-6 h
3,I,HS1313402,20,12,61.7252,61.7252,5.833333,3+-hop,5.225274074680204,0.13793103448275862,0.932,2-6 h
4,I,HS1313402,2,18,61.7252,61.7252,0.833333,3+-hop,5.214041948297753,0.13793103448275862,0.932,0-2 h
5,I,HS1313402,8,12,41.1501,41.1501,7.0,3+-hop,3.100201171674185,0.13793103448275862,0.88,6-12 h
6,I,MH0258475,8,24,1.6652,1.6652,13.0,3+-hop,0.2590738585939037,0.016,0.16,12+ h
7,I,MH0258475,8,12,1.1101,1.1101,6.333333,3+-hop,0.16543930664713524,0.008,0.094,6-12 h
8,I,MH0258475,2,12,1.1101,1.1101,3.833333,3+-hop,0.19856722380412978,0.0,0.094,2-6 h
9,I,MH0258475,20,24,1.3876,1.3876,10.5,3+-hop,0.22148961021591612,0.008,0.122,6-12 h
10,I,MH0258475,20,12,1.3876,1.3876,10.5,3+-hop,0.22148961021591612,0.008,0.122,6-12 h
11,I,VP0232532,14,6,0.8664,0.8664,4.166667,2-hop,0.15141288949706072,0.0,0.066,2-6 h
12,I,VP0232532,20,6,0.8664,0.8664,5.0,2-hop,0.1537745385252306,0.0,0.066,2-6 h
13,I,VP0232532,2,6,0.5776,0.5776,5.166667,2-hop,0.121093709433775,0.0,0.026,2-6 h
14,I,VP0232532,14,6,0.5776,0.5776,3.833333,2-hop,0.11118446093884626,0.0,0.026,2-6 h
15,I,VP0232532,14,24,0.722,0.722,3.666667,2-hop,0.13648555539867466,0.0,0.032,2-6 h
16,I,MH0201629,20,6,4.1913,4.1913,3.333333,0-hop,3.215861788663985,1.0,0.384,2-6 h
17,I,MH0201629,14,6,4.1913,4.1913,4.166667,0-hop,1.9251371554377115,1.0,0.384,2-6 h
18,I,MH0201629,8,18,2.7942,2.7942,13.666667,0-hop,1.7215723686873328,1.0,0.278,12+ h
19,I,MH0201629,8,12,4.1913,4.1913,6.666667,0-hop,2.051286235530481,1.0,0.384,6-12 h
20,I,MH0201629,20,6,2.7942,2.7942,3.166667,0-hop,2.1827572115868077,1.0,0.278,2-6 h
21,I,HS1308259,2,24,6.1481,6.1481,0.0,2-hop,0.8023036564745313,0.3333333333333333,0.492,0-2 h
22,I,HS1308259,2,12,7.3777,7.3777,0.0,2-hop,0.9555304324648993,0.3333333333333333,0.524,0-2 h
23,I,HS1308259,14,24,4.9184,4.9184,13.166667,2-hop,0.8680922444883664,0.3333333333333333,0.448,12+ h
24,I,HS1308259,14,18,7.3777,7.3777,13.166667,2-hop,1.19712754066927,0.3333333333333333,0.524,12+ h
25,I,HS1308259,2,18,7.3777,7.3777,0.0,2-hop,0.9555304324648993,0.3333333333333333,0.524,0-2 h
26,I,HS1311339,2,18,3.6022,3.6022,11.166667,3+-hop,0.4451800202019237,0.04032258064516129,0.366,6-12 h
27,I,HS1311339,14,6,3.0019,3.0019,1.333333,3+-hop,0.3677084280578242,0.024193548387096774,0.308,0-2 h
28,I,HS1311339,8,18,2.4015,2.4015,5.0,3+-hop,0.29509982773224525,0.024193548387096774,0.23,2-6 h
29,I,HS1311339,2,12,2.4015,2.4015,11.0,3+-hop,0.2944106896759158,0.024193548387096774,0.23,6-12 h
30,I,HS1311339,8,6,3.6022,3.6022,5.166667,3+-hop,0.4435666815709153,0.04032258064516129,0.366,2-6 h
31,I,HS1311288,20,6,0.2158,0.2158,2.666667,3+-hop,0.0340065690857775,0.0,0.018,2-6 h
32,I,HS1311288,14,24,0.1798,0.1798,3.666667,1-hop,0.043500883366525224,0.0,0.01,2-6 h
33,I,HS1311288,8,6,0.1798,0.1798,5.0,1-hop,0.03882714040419149,0.0,0.01,2-6 h
34,I,HS1311288,2,18,0.2158,0.2158,13.0,1-hop,0.06211990149751213,0.0,0.018,12+ h
35,I,HS1311288,14,24,0.1439,0.1439,3.666667,1-hop,0.034861049622949246,0.0,0.004,2-6 h
36,I,HS1313298,8,12,12.8103,12.8103,11.5,1-hop,4.331747562213392,0.3333333333333333,0.612,6-12 h
37,I,HS1313298,20,24,12.8103,12.8103,8.166667,1-hop,4.8096787355414214,0.3333333333333333,0.612,6-12 h
38,I,HS1313298,8,18,19.2155,19.2155,14.0,1-hop,6.646013085567439,0.3333333333333333,0.75,12+ h
39,I,HS1313298,8,24,12.8103,12.8103,14.0,1-hop,4.442664969429551,0.3333333333333333,0.612,12+ h
40,I,HS1313298,14,24,19.2155,19.2155,11.833333,1-hop,7.066986079721086,0.3333333333333333,0.75,6-12 h
41,I,HS2003046,20,6,29.6789,29.6789,1.166667,3+-hop,0.5288783230123882,0.07563025210084033,0.812,0-2 h
42,I,HS2003046,14,12,44.5183,44.5183,3.0,3+-hop,1.4069812199230496,0.1092436974789916,0.896,2-6 h
43,I,HS2003046,2,18,44.5183,44.5183,14.0,3+-hop,1.354793332178077,0.1092436974789916,0.896,12+ h
44,I,HS2003046,14,12,37.0986,37.0986,3.0,3+-hop,1.1689875349217589,0.1092436974789916,0.852,2-6 h
45,I,HS2003046,8,6,44.5183,44.5183,4.833333,3+-hop,1.1072129420055719,0.10084033613445378,0.896,2-6 h
46,I,HS1314505,2,24,15.0955,15.0955,12.666667,3+-hop,0.0595190332362459,0.04132231404958678,0.69,12+ h
47,I,HS1314505,2,12,15.0955,15.0955,3.833333,1-hop,0.055646514721103366,0.0,0.69,2-6 h
48,I,HS1314505,20,6,10.0636,10.0636,1.5,1-hop,0.03600993455789633,0.0,0.564,0-2 h
49,I,HS1314505,14,12,12.5795,12.5795,0.666667,3+-hop,0.049085000499623985,0.04132231404958678,0.598,0-2 h
50,I,HS1314505,2,6,12.5795,12.5795,3.833333,1-hop,0.04662777893455421,0.0,0.598,2-6 h
51,I,HS1316563,20,6,23.2201,23.2201,5.166667,2-hop,14.344146629199997,0.5,0.766,2-6 h
52,I,HS1316563,2,18,27.8641,27.8641,2.166667,2-hop,16.936480450272704,0.5,0.796,2-6 h
53,I,HS1316563,14,18,23.2201,23.2201,13.166667,2-hop,14.392150353087834,0.5,0.766,12+ h
54,I,HS1316563,14,12,27.8641,27.8641,11.166667,2-hop,17.05485447082234,0.5,0.796,6-12 h
55,I,HS1316563,14,18,27.8641,27.8641,13.166667,2-hop,17.105366495080624,0.5,0.796,12+ h
56,I,HS1316814,14,18,1.397,1.397,13.0,2-hop,0.8206745124329906,0.0,0.134,12+ h
57,I,HS1316814,20,12,1.397,1.397,7.0,2-hop,0.8209135696655452,0.0,0.134,6-12 h
58,I,HS1316814,20,24,1.397,1.397,7.0,2-hop,0.8209135696655452,0.0,0.134,6-12 h
59,I,HS1316814,2,24,2.0955,2.0955,2.166667,2-hop,1.150952561372611,1.0,0.208,2-6 h
60,I,HS1316814,8,18,1.397,1.397,13.0,2-hop,0.6825125375552897,0.0,0.134,12+ h
61,I,HS1316417,20,6,4.7895,4.7895,5.833333,3+-hop,0.32731660481334424,0.06504065040650407,0.438,2-6 h
62,I,HS1316417,8,18,4.7895,4.7895,9.666667,3+-hop,0.38182073099182556,0.06504065040650407,0.438,6-12 h
63,I,HS1316417,2,6,4.7895,4.7895,3.333333,3+-hop,0.3407600312502774,0.06504065040650407,0.438,2-6 h
64,I,HS1316417,14,6,3.8316,3.8316,3.666667,3+-hop,0.304702226545477,0.04065040650406504,0.372,2-6 h
65,I,HS1316417,14,6,4.7895,4.7895,3.666667,3+-hop,0.38223061767505523,0.06504065040650407,0.438,2-6 h
66,I,HS1313025,2,24,11.1002,11.1002,14.0,2-hop,1.9800122946537946,0.4,0.576,12+ h
67,I,HS1313025,8,6,13.3202,13.3202,5.166667,2-hop,2.2053522300950466,0.4,0.626,2-6 h
68,I,HS1313025,2,24,13.3202,13.3202,14.0,2-hop,2.38018251378438,0.4,0.626,12+ h
69,I,HS1313025,20,18,13.3202,13.3202,12.5,2-hop,2.2249967902147922,0.4,0.626,12+ h
70,I,HS1313025,14,18,13.3202,13.3202,3.0,2-hop,2.4627397735751657,0.4,0.626,2-6 h
71,I,MH0201710,20,6,9.4275,9.4275,3.5,2-hop,5.377665875368558,0.3333333333333333,0.546,2-6 h
72,I,MH0201710,20,12,9.4275,9.4275,3.5,2-hop,5.377665875368558,0.3333333333333333,0.546,2-6 h
73,I,MH0201710,20,24,6.285,6.285,3.5,2-hop,3.751350363038155,0.3333333333333333,0.498,2-6 h
74,I,MH0201710,8,24,7.8563,7.8563,13.666667,2-hop,3.7935743574973775,0.3333333333333333,0.532,12+ h
75,I,MH0201710,8,24,6.285,6.285,13.666667,2-hop,3.0615394038345953,0.3333333333333333,0.498,12+ h
76,I,HS1344263,14,12,5.6403,5.6403,7.666667,3+-hop,0.813456686704108,0.09016393442622951,0.486,6-12 h
77,I,HS1344263,8,6,8.4604,8.4604,1.5,3+-hop,1.0768063480572274,0.10655737704918032,0.538,0-2 h
78,I,HS1344263,14,12,7.0503,7.0503,7.333333,3+-hop,1.0147751387234938,0.10655737704918032,0.516,6-12 h
79,I,HS1344263,8,18,5.6403,5.6403,13.666667,3+-hop,0.8137221207910985,0.09016393442622951,0.486,12+ h
80,I,HS1344263,14,12,8.4604,8.4604,7.333333,3+-hop,1.2197099947347918,0.10655737704918032,0.538,6-12 h
81,I,HS1313471,14,12,3.044,3.044,11.333333,2-hop,3.210635234698389,0.5,0.316,6-12 h
82,I,HS1313471,20,18,2.5367,2.5367,5.5,2-hop,2.709702025222298,0.5,0.248,2-6 h
83,I,HS1313471,8,6,3.044,3.044,4.333333,2-hop,2.5690797458289887,0.5,0.316,2-6 h
84,I,HS1313471,2,18,3.044,3.044,3.333333,2-hop,3.123565006940754,0.5,0.316,2-6 h
85,I,HS1313471,14,18,2.0293,2.0293,11.5,2-hop,2.193966457456865,0.5,0.188,6-12 h
