metric,family,mean,std
MRR,Spatial ranking,0.8253916666666666,0.03699769552733432
Top-1,Spatial ranking,0.7188846666666667,0.06798004461850062
Top-3,Spatial ranking,0.9192103333333334,0.023664099229282615
Top-5,Spatial ranking,0.965446,0.016562900500818066
Event Top-1,Event ranking,0.7683573333333333,0.07007015688817406
Event Top-3,Event ranking,0.951332,0.017167727048156386
Event Top-5,Event ranking,0.9893273333333333,0.009250773823488134
Active F1,Detection,0.9868793333333334,0.007361533558527938
Scene F1,Detection,0.9972453333333333,0.004771222624583096
1 - Normal FPR,Detection,0.9990963333333333,0.0003286462130214273
