node_id,nearest_monitor_path_m,nearest_monitor_by_length
1,615.0,HS1308324
HS1306471,619.348917,HS1316467
HS1306554,210.786979,HS1306571
HS1306571,0.0,HS1306571
HS1306601,0.0,HS1306601
HS1306904,0.0,HS1306904
HS1308259,138.031704,HS1308324
HS1308301,0.0,HS1308301
HS1308302,53.211163,HS1308301
HS1308324,0.0,HS1308324
HS1311284,130.0,HS1313001
HS1311288,197.769231,HS1313001
HS1311339,802.6006580000001,MH0100292
HS1311349,1068.3731420000001,MH0100292
HS1311473,191.0,HS1313001
HS1311475,1467.965842,HS1306571
HS1311887,342.600658,MH0100292
HS1313001,0.0,HS1313001
HS1313025,0.0,HS1313025
HS1313026,20.0,HS1313025
HS1313044,0.0,HS1313044
HS1313083,297.65324799999996,HS1313044
HS1313123,84.941327,HS1313044
HS1313140,300.0,HS1313044
HS1313167,134.0,HS1313253
HS1313205,0.0,HS1313205
HS1313220,92.422206,HS1306601
HS1313253,0.0,HS1313253
HS1313283,184.0,HS1313253
HS1313290,54.020172,HS1318293
HS1313298,0.0,HS1313298
HS1313343,289.166806,HS1313298
HS1313391,0.0,HS1313391
HS1313402,0.0,HS1313402
HS1313415,120.0,HS1313391
HS1313471,87.119865,HS1313487
HS1313487,0.0,HS1313487
HS1313508,104.188451,HS1313487
HS1313534,90.0,MH0100292
HS1313569,112.0,HS1313597
HS1313597,0.0,HS1313597
HS1313613,83.723124,HS1313597
HS1313618,119.541045,HS1313640
HS1313640,0.0,HS1313640
HS1313676,185.0,HS1313298
HS1313740,100.0,HS1313597
HS1313794,0.0,HS1313794
HS1313803,52.472086,HS1313402
HS1313835,0.0,HS1313835
HS1313839,232.84061,MH0100292
HS1313865,70.0,MH0100292
HS1313925,144.0,HS1313959
HS1313959,0.0,HS1313959
HS1313965,183.095697,HS1313959
HS1314210,1129.9794319999999,HS2003013
HS1314237,995.4186589999999,HS2003013
HS1314268,829.7105999999999,HS2003013
HS1314477,215.0,HS1308324
HS1314505,245.522129,HS2003013
HS1314512,365.0,HS1308324
HS1314769,44.841583,HS2003013
HS1316010,76.0,HS1313640
HS1316177,167.180408,HS1313835
HS1316202,267.173943,HS1313835
HS1316207,239.817958,HS1308324
HS1316267,0.0,HS1316267
HS1316302,205.677601,HS1316267
HS1316334,326.677601,HS1316267
HS1316344,125.0,HS1316267
HS1316396,98.0,HS1316267
HS1316415,501.48219,HS1313835
HS1316417,232.319558,HS1313835
HS1316445,314.060428,HS1313835
HS1316467,0.0,HS1316467
HS1316530,221.0,HS1308324
HS1316532,246.259822,HS1316563
HS1316554,82.421616,HS1316563
HS1316563,0.0,HS1316563
HS1316566,40.580973,HS1316563
HS1316585,153.284515,HS1316563
HS1316643,138.806216,HS1316467
HS1316671,301.505312,HS1316467
HS1316676,106.0,HS1316467
HS1316677,96.0,HS1316467
HS1316707,108.499904,HS1316467
HS1316721,215.49990400000002,HS1316467
HS1316726,351.20437300000003,HS1308324
HS1316786,265.411854,HS1316467
HS1316811,465.34891700000003,HS1316467
HS1316814,335.87211,HS1316467
HS1316835,251.44039800000002,HS1316467
HS1316849,191.095368,HS1316467
HS1316892,175.0,HS1316467
HS1317102,50.865402,HS1313253
HS1318293,0.0,HS1318293
HS1324403,23.0,HS1313044
HS1330826,806.1955089999999,HS2003013
HS1330842,624.1955089999999,HS2003013
HS1344159,55.675621,HS1313835
HS1344166,447.93096799999995,HS1313044
HS1344261,219.205225,HS1316267
HS1344263,331.003716,HS1316563
HS1344902,330.265839,HS1316467
HS1344920,245.0,HS1313298
HS2003013,0.0,HS2003013
HS2003014,21.479264,HS2003013
HS2003015,40.463476,HS2003013
HS2003023,156.953373,HS2003013
HS2003046,303.09079399999996,HS2003013
HS2003070,448.19550899999996,HS2003013
HS2003085,584.2770509999999,HS2003013
HS2003111,768.2770509999999,HS2003013
HS2003125,872.8200879999999,HS2003013
MH0100292,0.0,MH0100292
MH0100334,122.0,MH0100292
MH0100819,40.584745,HS2003013
MH0101924,72.446242,MH0100292
MH0200661,920.8679890000001,HS1306571
MH0201597,467.65717800000004,HS1306571
MH0201629,684.731981,HS1306571
MH0201710,563.8679890000001,HS1306571
MH0241587,123.49228099999999,MH0100292
MH0242298,422.685923,HS2003013
MH0242303,347.285266,HS2003013
MH0242782,539.0394650000001,HS1316563
MH0258475,746.8936820000001,HS1316563
VP0232532,1244.965842,HS1306571
YS2003067,458.19550899999996,HS2003013
