scenario_id,defect_type,true_has_defect,pred_has_defect,true_start,true_end,pred_start,pred_end,onset_error_hours,signed_onset_error_hours,active_interval_iou,duration_error_hours,false_alarm_before_start,true_node_id,pred_top_node_id,pred_true_node_rank,true_active_top_node_id,true_active_true_node_rank,n_windows,n_pred_active_windows,n_true_active_windows,seed,node_id,min_monitor_hop,observability_tier,nearest_monitors,nearest_monitor_path_m,nearest_monitor_by_length,reciprocal_rank,hit_top1,hit_top3,hit_top5,hop_group,nearest_monitor_path_km
372,E,1,1,2025-01-01 06:00:00,2025-01-01 18:00:00,2025-01-01 03:10:00,2025-01-01 20:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,HS1344263,MH0242782,5.0,MH0242782,5.0,42,12,12,123,HS1344263,3,far,HS1316563,331.003716,HS1316563,0.2,0,0,1,"Far
3+ hops",0.331003716
71,I,1,1,2025-01-01 20:00:00,2025-01-02 02:00:00,2025-01-01 17:10:00,2025-01-02 04:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,MH0201710,MH0201710,1.0,MH0201710,1.0,42,6,6,123,MH0201710,3,far,HS1306571,563.8679890000001,HS1306571,1.0,1,1,1,"Far
3+ hops",0.5638679890000001
400,E,1,1,2025-01-01 06:00:00,2025-01-01 18:00:00,2025-01-01 04:10:00,2025-01-01 20:00:00,1.8333333333333333,-1.8333333333333333,0.7578947368421053,3.8333333333333335,1,MH0200661,VP0232532,2.0,VP0232532,2.0,42,11,12,123,MH0200661,4,far,HS1306571,920.8679890000001,HS1306571,0.5,0,1,1,"Far
3+ hops",0.9208679890000001
159,I,1,1,2025-01-01 14:00:00,2025-01-02 02:00:00,2025-01-01 11:10:00,2025-01-02 04:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,HS1314477,HS1314477,1.0,HS1314477,1.0,42,12,12,123,HS1314477,1,near,HS1308324,215.0,HS1308324,1.0,1,1,1,"Near
1-hop",0.215
418,E,1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,2025-01-01 10:10:00,2025-01-02 03:00:00,1.8333333333333333,-1.8333333333333333,0.7128712871287128,4.833333333333333,1,VP0232532,MH0200661,2.0,MH0200661,2.0,42,12,12,123,VP0232532,5,far,HS1306571,1244.965842,HS1306571,0.5,0,1,1,"Far
3+ hops",1.244965842
272,E,1,1,2025-01-01 06:00:00,2025-01-02 00:00:00,2025-01-01 03:10:00,2025-01-01 15:00:00,2.833333333333333,-2.833333333333333,0.432,6.166666666666667,1,HS1308302,HS1308302,1.0,HS1308302,1.0,42,17,18,123,HS1308302,1,near,HS1308324;HS1308301,53.211163,HS1308301,1.0,1,1,1,"Near
1-hop",0.053211163
147,I,1,1,2025-01-01 08:00:00,2025-01-01 14:00:00,2025-01-01 05:10:00,2025-01-01 16:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS1311473,HS1311473,1.0,HS1311473,1.0,42,6,6,123,HS1311473,1,near,HS1313001,191.0,HS1313001,1.0,1,1,1,"Near
1-hop",0.191
206,I,1,1,2025-01-01 14:00:00,2025-01-01 20:00:00,2025-01-01 11:10:00,2025-01-01 22:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,MH0242782,MH0242782,1.0,MH0242782,1.0,42,6,6,123,MH0242782,4,far,HS1316563,539.0394650000001,HS1316563,1.0,1,1,1,"Far
3+ hops",0.5390394650000001
279,E,1,1,2025-01-01 12:00:00,2025-01-01 18:00:00,2025-01-01 09:10:00,2025-01-01 20:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS1311339,HS1311339,1.0,HS1311339,1.0,42,6,6,123,HS1311339,3,far,MH0100292,802.6006580000001,MH0100292,1.0,1,1,1,"Far
3+ hops",0.802600658
315,E,1,1,2025-01-01 00:00:00,2025-01-01 06:00:00,2025-01-01 00:10:00,2025-01-01 08:00:00,0.1666666666666666,0.1666666666666666,0.7291666666666666,1.8333333333333333,0,HS1313402,HS1313402,1.0,HS1313402,1.0,42,3,3,123,HS1313402,0,direct,HS1313402,0.0,HS1313402,1.0,1,1,1,"Direct
0-hop",0.0
