experiment,variant,model,layers,path_prior_mode,seed,metrics_file,mrr,top1,top3,active_f1,normal_window_fpr,scene_f1,event_top1,event_top3
depth,deepattn_L1,hydraulic_inverse_deepattn,1,full,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L1_normal20_rawres_loc0p5_degree_N25_s7.json,0.36779643575943527,0.2208955223880597,0.41691542288557215,0.9833920483140413,0.0028296547821165816,1.0,0.265625,0.46875
depth,deepattn_L1,hydraulic_inverse_deepattn,1,full,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L1_normal20_rawres_loc0p5_degree_N25_s42.json,0.3659840129979261,0.21232876712328766,0.4212328767123288,0.9474899019042123,0.0189873417721519,0.9672131147540983,0.18032786885245902,0.4262295081967213
depth,deepattn_L1,hydraulic_inverse_deepattn,1,full,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L1_normal20_rawres_loc0p5_degree_N25_s123.json,0.41813471366961796,0.28390804597701147,0.4298850574712644,0.9815028901734103,0.0057833859095688745,0.991869918699187,0.29508196721311475,0.4426229508196721
depth,deepattn_L2,hydraulic_inverse_deepattn,2,full,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L2_normal20_rawres_loc0p5_degree_N25_s7.json,0.7261695225292177,0.5840796019900497,0.835820895522388,0.9867321867321867,0.014714204867006225,1.0,0.609375,0.859375
depth,deepattn_L2,hydraulic_inverse_deepattn,2,full,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L2_normal20_rawres_loc0p5_degree_N25_s42.json,0.7105387196148911,0.5878995433789954,0.79337899543379,0.974477958236659,0.004219409282700422,0.9833333333333333,0.5901639344262295,0.8032786885245902
depth,deepattn_L2,hydraulic_inverse_deepattn,2,full,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L2_normal20_rawres_loc0p5_degree_N25_s123.json,0.6526398295643686,0.5022988505747127,0.7367816091954023,0.9908361970217641,0.0057833859095688745,1.0,0.5409836065573771,0.819672131147541
depth,deepattn_L3,hydraulic_inverse_deepattn,3,full,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_normal20_rawres_loc0p5_degree_N25_s7.json,0.8477438257701362,0.7412935323383084,0.9442786069651742,0.9879396984924623,0.0011318619128466328,1.0,0.796875,0.96875
depth,deepattn_L3,hydraulic_inverse_deepattn,3,full,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_normal20_rawres_loc0p5_degree_N25_s42.json,0.8457453866493484,0.7728310502283106,0.8972602739726028,0.979045401629802,0.0005274261603375527,0.9917355371900827,0.819672131147541,0.9508196721311475
depth,deepattn_L3,hydraulic_inverse_deepattn,3,full,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_normal20_rawres_loc0p5_degree_N25_s123.json,0.7826861064324434,0.6425287356321839,0.9160919540229885,0.9936526255049047,0.0010515247108307045,1.0,0.6885245901639344,0.9344262295081968
depth,deepattn_L4,hydraulic_inverse_deepattn,4,full,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L4_normal20_rawres_loc0p5_degree_N25_s7.json,0.8296108338963333,0.7233830845771144,0.9194029850746268,0.9875559980089597,0.006791171477079796,1.0,0.765625,0.9375
