method,metric,defect_type,value
Degree,mrr,I,0.8539898311786017
Degree,mrr,E,0.7884765482992968
Degree,top1,I,0.7570607759111846
Degree,top1,E,0.669257066191932
Degree,top3,I,0.9571976682242548
Degree,top3,E,0.8708881453569716
Degree,top5,I,0.9809362852350036
Degree,top5,E,0.9462738378795502
Betweenness,mrr,I,0.8857877730586757
Betweenness,mrr,E,0.8437334345558348
Betweenness,top1,I,0.7938402426372719
Betweenness,top1,E,0.7410749782745603
Betweenness,top3,I,0.9761685271987238
Betweenness,top3,E,0.9404576356857792
Betweenness,top5,I,0.9862647265029998
Betweenness,top5,E,0.9933954663317256
Cand-Obs,mrr,I,0.9024282932625336
Cand-Obs,mrr,E,0.8451444509281499
Cand-Obs,top1,I,0.8311808334011074
Cand-Obs,top1,E,0.7456738521872621
Cand-Obs,top3,I,0.9679161093225408
Cand-Obs,top3,E,0.9284103076509904
Cand-Obs,top5,I,0.9879986590680524
Cand-Obs,top5,E,0.9757974497089787
Two-stage v1,mrr,I,0.9208036208590418
Two-stage v1,mrr,E,0.8827240947249462
Two-stage v1,top1,I,0.8596182663848153
Two-stage v1,top1,E,0.793301879822256
Two-stage v1,top3,I,0.9809177934219838
Two-stage v1,top3,E,0.9646400144484436
Two-stage v1,top5,I,0.9845494841136812
Two-stage v1,top5,E,0.9950415568667048
Node-Feedback,mrr,I,0.9044483800289131
Node-Feedback,mrr,E,0.8853820608656323
Node-Feedback,top1,I,0.8263635287668913
Node-Feedback,top1,E,0.8002092209685383
Node-Feedback,top3,I,0.9769675983322544
Node-Feedback,top3,E,0.9609347861524804
Node-Feedback,top5,I,0.9957108471123788
Node-Feedback,top5,E,0.9974923975620597
Embedding-Guided,mrr,I,0.8991867321122649
Embedding-Guided,mrr,E,0.8896230973381791
Embedding-Guided,top1,I,0.8267873196855376
Embedding-Guided,top1,E,0.8000710694545594
Embedding-Guided,top3,I,0.9761759106997508
Embedding-Guided,top3,E,0.9872532359470708
Embedding-Guided,top5,I,0.9979271096370556
Embedding-Guided,top5,E,1.0
