method,layout_id,chapter,diagnosis_seed,mrr,top1,top3,top5,event_top1,event_top3,event_top5,cls_acc,active_f1,normal_window_fpr,scene_precision,scene_recall,scene_fpr,scene_f1,detection_latency_mean,metrics_file
Degree,degree_N25,Ch4,7,0.847744,0.741294,0.944279,0.974129,0.796875,0.96875,0.984375,0.991342,0.98794,0.001132,1.0,1.0,0.0,1.0,0.046875,E:/11.16/script2_new/outputs/reports/last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s7.json
Degree,degree_N25,Ch4,42,0.845745,0.772831,0.89726,0.946347,0.819672,0.95082,0.983607,0.987013,0.979045,0.000527,1.0,0.983607,0.0,0.991736,0.081967,E:/11.16/script2_new/outputs/reports/last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42.json
Degree,degree_N25,Ch4,123,0.782686,0.642529,0.916092,0.975862,0.688525,0.934426,1.0,0.996032,0.993653,0.001052,1.0,1.0,0.0,1.0,0.04918,E:/11.16/script2_new/outputs/reports/last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s123.json
Betweenness,betweenness_N25,Ch4,7,0.874023,0.781095,0.961194,0.99403,0.78125,0.953125,0.984375,0.996392,0.99502,0.002264,1.0,1.0,0.0,1.0,0.0,E:/11.16/script2_new/outputs/reports/last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N25_s7.json
Betweenness,betweenness_N25,Ch4,42,0.857515,0.760274,0.941781,0.978311,0.770492,0.967213,0.983607,0.987013,0.979045,0.000527,1.0,0.967213,0.0,0.983333,0.196721,E:/11.16/script2_new/outputs/reports/last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N25_s42.json
Betweenness,betweenness_N25,Ch4,123,0.872797,0.774713,0.97931,0.996552,0.803279,1.0,1.0,0.996392,0.994233,0.001052,1.0,1.0,0.0,1.0,0.032787,E:/11.16/script2_new/outputs/reports/last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N25_s123.json
Cand-Obs,candidate_observability_N25,Ch5,7,0.839782,0.735323,0.926368,0.977114,0.765625,0.953125,1.0,0.990981,0.987679,0.01245,1.0,1.0,0.0,1.0,0.03125,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_candidate_observability_N25_normal20_rawres_loc0p5_s7.json
Cand-Obs,candidate_observability_N25,Ch5,42,0.890474,0.813927,0.958904,0.977169,0.852459,0.983607,1.0,0.987013,0.97907,0.001055,1.0,0.983607,0.0,0.991736,0.245902,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_candidate_observability_N25_normal20_rawres_loc0p5_s42.json
Cand-Obs,candidate_observability_N25,Ch5,123,0.904782,0.836782,0.967816,0.994253,0.803279,1.0,1.0,0.996032,0.993682,0.003155,1.0,1.0,0.0,1.0,0.032787,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_candidate_observability_N25_normal20_rawres_loc0p5_s123.json
Two-stage v1,two_stage_balanced_layout_v1_N25,Ch5,7,0.876607,0.79005,0.952239,0.973134,0.828125,0.953125,0.984375,0.997475,0.996516,0.001698,1.0,1.0,0.0,1.0,0.0,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N25_normal20_rawres_loc0p5_s7.json
Two-stage v1,two_stage_balanced_layout_v1_N25,Ch5,42,0.90652,0.829909,0.981735,0.996575,0.868852,1.0,1.0,0.993506,0.989679,0.002637,1.0,1.0,0.0,1.0,0.016393,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N25_normal20_rawres_loc0p5_s42.json
Two-stage v1,two_stage_balanced_layout_v1_N25,Ch5,123,0.931427,0.875862,0.987356,0.997701,0.868852,1.0,1.0,0.99531,0.992533,0.00368,1.0,1.0,0.0,1.0,0.0,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N25_normal20_rawres_loc0p5_s123.json
Node-Feedback (val),v0_scenario_val_N25,Ch5,7,0.865068,0.761194,0.955224,0.99403,0.765625,0.9375,1.0,0.996032,0.994541,0.004527,1.0,1.0,0.0,1.0,0.0,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_nf_val_N25_normal20_rawres_loc0p5_s7.json
Node-Feedback (val),v0_scenario_val_N25,Ch5,42,0.929606,0.875571,0.980594,0.997717,0.918033,1.0,1.0,0.996032,0.993718,0.002637,1.0,1.0,0.0,1.0,0.032787,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_nf_val_N25_normal20_rawres_loc0p5_s42.json
Node-Feedback (val),v0_scenario_val_N25,Ch5,123,0.89433,0.809195,0.974713,0.997701,0.885246,0.983607,1.0,0.995671,0.99308,0.001577,1.0,1.0,0.0,1.0,0.065574,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_nf_val_N25_normal20_rawres_loc0p5_s123.json
Embedding-Guided-new,embedding_guided_clean_fixed_N25,Ch5,7,0.892371,0.80597,0.98607,1.0,0.828125,0.984375,1.0,0.997835,0.997009,0.000566,1.0,1.0,0.0,1.0,0.078125,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s7.json
Embedding-Guided-new,embedding_guided_clean_fixed_N25,Ch5,42,0.882267,0.796804,0.971461,0.997717,0.786885,0.967213,1.0,0.993506,0.989655,0.001582,1.0,0.983607,0.0,0.991736,0.066667,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s42.json
Embedding-Guided-new,embedding_guided_clean_fixed_N25,Ch5,123,0.915701,0.851724,0.986207,0.998851,0.868852,0.983607,1.0,0.994949,0.992,0.006309,1.0,1.0,0.0,1.0,0.0,E:/11.16/script2_new/outputs/reports/last_run_metrics_ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s123.json
