method,defect_type,mrr_mean,mrr_std,top1_mean,top3_mean,top5_mean
Degree,I,0.8539898311786017,0.025496713310892538,0.7570607759111846,0.9571976682242548,0.9809362852350035
Degree,E,0.7884765482992968,0.04033187750256637,0.669257066191932,0.8708881453569716,0.9462738378795502
Betweenness,I,0.8857877730586757,0.023432457651020717,0.7938402426372719,0.9761685271987238,0.9862647265029998
Betweenness,E,0.8437334345558348,0.02083508357534079,0.7410749782745603,0.9404576356857793,0.9933954663317256
Cand-Obs,I,0.9024282932625335,0.03565790503973301,0.8311808334011074,0.9679161093225407,0.9879986590680523
Cand-Obs,E,0.8451444509281499,0.0400520220182926,0.7456738521872621,0.9284103076509904,0.9757974497089789
Two-stage v1,I,0.9208036208590418,0.032996007300457285,0.8596182663848153,0.9809177934219838,0.9845494841136812
Two-stage v1,E,0.8827240947249462,0.02277570770390122,0.793301879822256,0.9646400144484435,0.9950415568667049
Node-Feedback,I,0.9044483800289133,0.03642099909969099,0.8263635287668913,0.9769675983322544,0.9957108471123789
Node-Feedback,E,0.8853820608656323,0.025544739221664798,0.8002092209685383,0.9609347861524803,0.9974923975620597
Embedding-Guided,I,0.8991867321122649,0.05641821965254548,0.8267873196855376,0.9761759106997508,0.9979271096370557
Embedding-Guided,E,0.8896230973381791,0.046763972314860736,0.8000710694545594,0.9872532359470708,1.0
