candidate,min_hop_best_method,max_hop_worst_method,mean_hop_all_methods,always_far,always_near,hop_Degree,hop_Betweenness,hop_Cand-Obs,hop_Two-stage,hop_Node-Feedback,hop_Embedding-Guided
VP0232532,0,15,6.0,False,False,15,15,2,0,2,2
MH0201629,0,15,5.833333333333333,False,False,15,15,1,0,2,2
MH0201710,0,15,5.333333333333333,False,False,15,15,0,2,0,0
HS2003111,0,15,5.166666666666667,False,False,15,15,0,0,0,1
MH0200661,1,15,5.666666666666667,False,False,15,15,1,1,1,1
HS1314237,2,15,8.5,False,False,15,15,2,2,2,15
HS1313618,0,9,3.1666666666666665,False,False,1,4,0,1,4,9
HS1316814,1,9,4.166666666666667,False,False,9,7,1,1,4,3
HS1306471,0,7,3.0,False,False,7,5,2,2,2,0
HS1313471,1,7,2.3333333333333335,False,False,1,3,1,1,1,7
HS1313597,0,6,2.0,False,False,0,2,2,0,2,6
HS2003085,0,6,1.6666666666666667,False,False,6,1,1,1,1,0
HS1330842,0,6,1.5,False,False,6,1,0,0,1,1
HS1311288,0,5,2.5,False,False,2,4,1,0,3,5
HS1316415,0,5,2.3333333333333335,False,False,5,3,2,0,3,1
HS1313925,0,5,2.1666666666666665,False,False,1,3,0,1,3,5
HS1344920,2,6,3.0,False,False,2,4,2,2,2,6
MH0258475,1,5,4.0,False,False,5,5,3,1,5,5
HS1344902,1,5,3.1666666666666665,False,False,5,5,1,2,1,5
MH0242782,0,4,3.0,False,False,4,4,2,0,4,4
MH0101924,0,4,1.3333333333333333,False,False,1,0,1,1,1,4
HS1313253,0,4,1.3333333333333333,False,False,0,2,1,4,0,1
HS1313298,0,4,1.0,False,False,0,2,0,0,0,4
HS1311473,1,4,2.3333333333333335,False,False,1,3,2,2,2,4
HS1344261,1,4,1.8333333333333333,False,False,2,2,1,1,1,4
HS1316643,0,3,1.8333333333333333,False,False,3,3,1,0,1,3
HS1311339,0,3,1.6666666666666667,False,False,3,3,0,0,3,1
HS2003015,0,3,1.6666666666666667,False,False,1,2,2,0,3,2
HS1313001,0,3,1.3333333333333333,False,False,0,2,1,1,1,3
HS1316721,0,3,1.0,False,False,2,3,0,0,0,1
HS1313402,0,3,0.5,False,False,0,0,0,0,0,3
HS1344263,1,3,2.3333333333333335,False,False,3,3,1,1,3,3
HS1314505,1,3,1.8333333333333333,False,False,2,3,1,1,3,1
HS1316585,0,2,1.5,False,False,2,2,0,1,2,2
HS1316202,0,2,1.1666666666666667,False,False,2,1,0,2,1,1
HS1313140,0,2,1.0,False,False,1,1,1,2,1,0
HS1308302,0,2,1.0,False,False,1,0,1,1,1,2
HS1313205,0,2,0.8333333333333334,False,False,0,0,1,2,0,2
HS1324403,0,2,0.8333333333333334,False,False,1,0,1,2,1,0
HS1313025,0,2,0.5,False,False,0,1,0,0,0,2
HS1316563,0,2,0.3333333333333333,False,False,0,0,2,0,0,0
HS1306554,1,2,1.3333333333333333,False,False,1,1,1,2,1,2
HS1308259,1,2,1.1666666666666667,False,False,1,1,1,1,1,2
HS2003046,0,1,0.6666666666666666,False,True,1,0,1,1,1,0
HS1316417,0,1,0.6666666666666666,False,True,1,1,1,0,1,0
HS1314477,0,1,0.6666666666666666,False,True,1,1,0,1,1,0
HS1306571,0,1,0.5,False,True,0,0,1,1,0,1
HS1306904,0,1,0.5,False,True,0,0,1,1,0,1
HS1313835,0,1,0.3333333333333333,False,True,0,0,0,1,0,1
HS1306601,0,0,0.0,False,True,0,0,0,0,0,0
