scenario_id,defect_type,node_id,intensity_pct,start_hour,duration_h,min_monitor_hop,nearest_monitors
112,I,HS1306471,40,14,24,4,HS1316467
113,I,HS1306471,40,8,24,4,HS1316467
114,I,HS1306471,50,20,6,4,HS1316467
26,I,HS1311339,60,2,18,3,MH0100292
276,E,HS1311339,50,12,24,3,MH0100292
277,E,HS1311339,40,12,18,3,MH0100292
279,E,HS1311339,40,12,6,3,MH0100292
280,E,HS1311339,60,18,18,3,MH0100292
92,I,HS1314237,50,20,12,7,HS1306601
93,I,HS1314237,50,14,24,7,HS1306601
326,E,HS1314237,50,6,12,7,HS1306601
329,E,HS1314237,50,0,12,7,HS1306601
181,I,HS1316415,40,14,18,4,HS1316267
184,I,HS1316415,50,2,6,4,HS1316267
357,E,HS1316643,40,12,12,3,HS1316467;HS1316563
359,E,HS1316643,60,12,18,3,HS1316467;HS1316563
360,E,HS1316643,40,0,6,3,HS1316467;HS1316563
58,I,HS1316814,40,20,24,4,HS1316467
59,I,HS1316814,60,2,24,4,HS1316467
225,I,HS1330842,50,8,18,4,HS1306601
76,I,HS1344263,40,14,12,3,HS1316563
77,I,HS1344263,60,8,6,3,HS1316563
372,E,HS1344263,40,6,12,3,HS1316563
373,E,HS1344263,40,18,24,3,HS1316563
212,I,HS1344902,60,2,6,3,HS1316467
214,I,HS1344902,40,8,24,3,HS1316467
215,I,HS1344902,50,20,18,3,HS1316467
131,I,HS2003085,50,14,6,4,HS1306601
135,I,HS2003085,50,2,24,4,HS1306601
202,I,HS2003111,40,14,18,5,HS1306601
386,E,HS2003111,40,6,24,5,HS1306601
88,I,MH0200661,50,2,24,4,HS1306571
89,I,MH0200661,50,20,12,4,HS1306571
399,E,MH0200661,60,0,24,4,HS1306571
18,I,MH0201629,40,8,18,3,HS1306571
405,E,MH0201629,40,0,12,3,HS1306571
71,I,MH0201710,60,20,6,3,HS1306571
72,I,MH0201710,60,20,12,3,HS1306571
73,I,MH0201710,40,20,24,3,HS1306571
74,I,MH0201710,50,8,24,3,HS1306571
406,E,MH0201710,50,18,18,3,HS1306571
408,E,MH0201710,60,6,12,3,HS1306571
409,E,MH0201710,50,12,12,3,HS1306571
410,E,MH0201710,60,6,18,3,HS1306571
206,I,MH0242782,60,14,6,4,HS1316563
209,I,MH0242782,60,8,18,4,HS1316563
414,E,MH0242782,60,6,18,4,HS1316563
415,E,MH0242782,40,0,12,4,HS1316563
7,I,MH0258475,40,8,12,5,HS1316563
11,I,VP0232532,60,14,6,5,HS1306571
14,I,VP0232532,40,14,6,5,HS1306571
419,E,VP0232532,60,0,6,5,HS1306571
420,E,VP0232532,40,6,18,5,HS1306571
