method_short,method,seed,is_hard_candidate,scenario_count,window_count,mrr_mean,mrr_std,top1_mean,top3_mean,top5_mean,candidate_group
Cand-Obs,candidate_observability,7,False,43,669,0.847480075422491,0.23809827812283457,0.7674374704381247,0.9039177686578507,0.927173582611339,other
Cand-Obs,candidate_observability,7,True,20,306,0.8405092592592591,0.25736647601123347,0.7496230158730158,0.9152777777777779,0.9944444444444445,hard_far
Cand-Obs,candidate_observability,42,False,45,617,0.9098007989952434,0.13773182695749872,0.8470859387526054,0.9696208112874779,0.9881481481481482,other
Cand-Obs,candidate_observability,42,True,18,240,0.895799785292539,0.19594078908293472,0.811694847020934,0.9814814814814815,1.0,hard_far
Cand-Obs,candidate_observability,123,False,41,579,0.8551015943366801,0.2258496787292912,0.7697695338297921,0.9282027593003203,0.9588938162108894,other
Cand-Obs,candidate_observability,123,True,22,336,0.8042839105339106,0.25806514284720655,0.6799242424242423,0.8977272727272727,0.9766414141414141,hard_far
Degree,degree,7,False,43,669,0.7665474616141364,0.3161413079239432,0.6710198032701453,0.8142764857881136,0.8620611035111719,other
Degree,degree,7,True,20,306,0.7162682850918145,0.2325937958371636,0.4934232026143791,0.9484477124183007,0.9930555555555556,hard_far
Degree,degree,42,False,45,617,0.8786485571147407,0.21291072055151083,0.8041212330342765,0.9315255731922398,0.9777777777777777,other
Degree,degree,42,True,18,240,0.601911159995399,0.2752128168918953,0.3600040257648953,0.8598027375201288,0.9394122383252819,hard_far
Degree,degree,123,False,41,579,0.8370966066180404,0.23125468241489422,0.7249938408474994,0.9593249568859326,0.9829514658782951,other
Degree,degree,123,True,22,336,0.6294349747474747,0.2548193922385962,0.38636363636363635,0.9166666666666667,0.9823232323232323,hard_far
Two-stage v1,two_stage_balanced_layout_v1,7,False,43,669,0.8215931584887155,0.22946645253713954,0.7047613855114003,0.9155592469545958,0.9587967644084935,other
Two-stage v1,two_stage_balanced_layout_v1,7,True,20,306,0.8448214285714286,0.26442636344253084,0.7592261904761906,0.9041666666666666,1.0,hard_far
Two-stage v1,two_stage_balanced_layout_v1,42,False,45,617,0.8611154449117412,0.21245546302289942,0.7667019400352734,0.9520282186948854,0.9901234567901235,other
Two-stage v1,two_stage_balanced_layout_v1,42,True,18,240,0.8988911358703024,0.23850555021400632,0.8518518518518519,0.9305555555555556,0.9814814814814815,hard_far
Two-stage v1,two_stage_balanced_layout_v1,123,False,41,579,0.9050792477621746,0.14503573941639794,0.8249384084749939,0.9925474254742547,0.9939024390243902,other
Two-stage v1,two_stage_balanced_layout_v1,123,True,22,336,0.8405403238736572,0.21733547376738718,0.7152777777777778,0.9823232323232323,0.9823232323232323,hard_far
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,False,43,669,0.8352219831309673,0.2459624119336399,0.7404620763033896,0.936844505243958,0.9896640826873385,other
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,True,20,306,0.8887766495487084,0.19423797299894557,0.8130310457516339,0.9416666666666667,1.0,hard_far
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,False,45,617,0.8798891956138333,0.17628417087517714,0.7886996256561474,0.9780990721570432,0.9898677248677248,other
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,True,18,240,0.8577160493827161,0.18965973390026497,0.7513083735909823,0.9626610305958132,0.9976851851851851,hard_far
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,False,41,579,0.9112519262447526,0.15896392102331458,0.8327235772357723,0.9986449864498644,1.0,other
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,True,22,336,0.7564975148308482,0.2778121656157401,0.6147186147186147,0.8686868686868686,0.9772727272727273,hard_far
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,False,43,669,0.8633986680161267,0.21363350369120543,0.7718886745800444,0.951531387748898,0.9752431980544155,other
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,True,20,306,0.7967757936507937,0.26119652692392886,0.6696428571428571,0.913888888888889,0.9875,hard_far
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,False,45,617,0.9209930878449397,0.14402967991488316,0.8622486772486773,0.9839506172839506,0.9962962962962963,other
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,True,18,240,0.8341677646025472,0.21592262429640421,0.7239331723027376,0.9344135802469135,0.988425925925926,hard_far
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,False,41,579,0.9551808737784347,0.10725980903300694,0.9175659029317567,1.0,1.0,other
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,True,22,336,0.7788194444444444,0.2635323149238602,0.6407828282828283,0.9425505050505051,1.0,hard_far
