method_short,method,is_hard_candidate,candidate_group,seed_count,scenario_count_mean,mrr_mean,mrr_std_across_seed,top1_mean,top1_std_across_seed,top3_mean,top5_mean
Cand-Obs,candidate_observability,False,other,3,43.0,0.8707941562514715,0.03399500729879349,0.7947643143401741,0.04532685645158217,0.9339137797485496,0.9580718489901255
Cand-Obs,candidate_observability,True,hard_far,3,20.0,0.8468643183619028,0.04608773063796712,0.7470807017727307,0.06592207960678122,0.9314955106621774,0.9903619528619529
Degree,degree,False,other,3,43.0,0.8274308751156392,0.05667215963077712,0.7333782923839737,0.06694566395211568,0.9017090052887621,0.9409301157224149
Degree,degree,True,hard_far,3,20.0,0.6492048066115627,0.0596868721246979,0.41326362158097024,0.07066028652162433,0.9083057055350321,0.9715970087346899
Two-stage v1,two_stage_balanced_layout_v1,False,other,3,43.0,0.8625959503875439,0.041762730967836746,0.7654672446738893,0.0600980246478584,0.9533782970412453,0.9809408867410024
Two-stage v1,two_stage_balanced_layout_v1,True,hard_far,3,20.0,0.8614176294384627,0.03252352575569213,0.7754519400352734,0.06971782870158268,0.9390151515151515,0.9879349046015712
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,False,other,3,43.0,0.875454368329851,0.03820849162490484,0.787295093065103,0.046146783987873904,0.9711961879502885,0.9931772691850211
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,True,hard_far,3,20.0,0.8343300712540908,0.06917095019009682,0.7263526780204103,0.10148421124300466,0.9243381886497829,0.9916526374859709
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,False,other,3,43.0,0.9131908765465004,0.046385872844086705,0.8505677515868261,0.07353772319903236,0.9784940016776162,0.9905131647835707
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,True,hard_far,3,20.0,0.803254334232595,0.028237169690560303,0.6781196192428077,0.04221832006880054,0.9302843247287692,0.9919753086419755
