method_short,method,seed,monitor_budget_n,window_mrr_from_report,window_top1_from_report,window_top3_from_report,window_top5_from_report,event_mrr_mean_from_by_scenario,event_mrr_std_from_by_scenario,event_top1_mean_from_by_scenario,event_top3_mean_from_by_scenario,event_top5_mean_from_by_scenario,scenario_count,source_json
Cand-Obs,candidate_observability,7,25,0.8514672492100642,0.7702564102564102,0.9117948717948718,0.9476923076923077,0.8452671179103538,0.24230709192976813,0.7617820880365029,0.9075241207594147,0.9485294117647056,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json
Cand-Obs,candidate_observability,42,25,0.909694677194887,0.8413068844807468,0.9801633605600933,0.9964994165694282,0.9058005093658992,0.1550171849945809,0.836974198257842,0.9730095742000501,0.9915343915343916,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json
Cand-Obs,candidate_observability,123,25,0.8380995461849567,0.7366120218579235,0.9245901639344263,0.9650273224043716,0.8373557365007923,0.23677425656224815,0.7383949876246794,0.9175605258938592,0.96509139009139,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s123.json
Degree,degree,7,25,0.764381604439173,0.6328205128205128,0.8707692307692307,0.9117948717948718,0.750585818273717,0.2912739112636828,0.6146399300460926,0.856870525988173,0.9036466438427221,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_degree_scen_N25_s7.json
Degree,degree,42,25,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025671,0.799580729366357,0.2623351901281616,0.677230602385882,0.9110333344287795,0.9668161950770646,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_degree_N25_s42.json
Degree,degree,123,25,0.7757171478102116,0.6229508196721312,0.946448087431694,0.9846994535519126,0.7645798462822874,0.25778702768330597,0.6067420234086903,0.9444284110950775,0.9827320827320827,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_degree_scen_N25_s123.json
Two-stage v1,two_stage_balanced_layout_v1,7,25,0.8418709582548876,0.7353846153846154,0.9323076923076923,0.9774358974358974,0.8289672124832275,0.2391980510065115,0.722051799785937,0.9119425547996978,0.9718771566597654,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_two_stage_balanced_layout_v1_scen_N25_s7.json
Two-stage v1,two_stage_balanced_layout_v1,42,25,0.8848815990509759,0.8133022170361727,0.9521586931155193,0.9836639439906651,0.8719084994713302,0.21892083862491096,0.7910304862685812,0.9458931720836482,0.9876543209876542,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_tsbal25_s42.json
Two-stage v1,two_stage_balanced_layout_v1,123,25,0.8876394329175271,0.7945355191256831,0.9890710382513661,0.9901639344262295,0.8825418457693591,0.17473388181609323,0.7866442199775533,0.9889770723104057,0.9898589065255733,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_two_stage_balanced_layout_v1_scen_N25_s123.json
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,25,0.8534741644675915,0.7671794871794871,0.9394871794871795,0.9958974358974358,0.8522234645334248,0.2305983320127196,0.763499844382197,0.938375350140056,0.9929453262786595,63,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_learnable_layout_network_v0_2_clean_scenario_scen_N25_s7.json
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,25,0.881350179536479,0.7852975495915986,0.9801633605600933,0.9941656942823804,0.8735540109763711,0.17893834921446708,0.7780164107803859,0.9736882031395487,0.9921012849584279,63,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_llnv02clean_scen_N25_s42.json
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,25,0.8626416040899975,0.7650273224043715,0.9562841530054644,0.9901639344262295,0.8572107032113256,0.21903161276835353,0.7565948601662886,0.9532627865961198,0.9920634920634921,63,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_learnable_layout_network_v0_2_clean_scenario_scen_N25_s123.json
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,25,0.8404203392909123,0.7353846153846154,0.9415384615384615,0.9805128205128205,0.8422485491699889,0.22978562608402592,0.7394296849174454,0.9395813881107998,0.979134246291109,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_learnable_layout_network_v2_2_clean_generalization_scen_N25_s7.json
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,25,0.9243013593112852,0.8693115519253208,0.9836639439906651,0.9941656942823804,0.8961858526328276,0.1704959240348362,0.8227299615498375,0.9697971781305116,0.9940476190476192,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_llnv22clean_gen_scen_N25_s42.json
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,25,0.8920582949463787,0.8163934426229508,0.980327868852459,1.0,0.8935943428998985,0.19526419653049848,0.8209114959114958,0.9799382716049383,1.0,63,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_learnable_layout_network_v2_2_clean_generalization_scen_N25_s123.json
