method_short,method,seed,hard_definition,is_hard_under_definition,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
Cand-Obs,candidate_observability,7,far_and_low_mrr,False,57,57,891,0.8446958203804497,0.24360660647090396,0.7615603195257254,0.9021757825937392,0.9431114551083591
Cand-Obs,candidate_observability,7,far_and_low_mrr,True,6,6,84,0.8506944444444445,0.2516822260336128,0.7638888888888888,0.9583333333333334,1.0
Cand-Obs,candidate_observability,7,far_hard_current,False,43,43,669,0.847480075422491,0.23809827812283457,0.7674374704381247,0.9039177686578507,0.927173582611339
Cand-Obs,candidate_observability,7,far_hard_current,True,20,20,306,0.8405092592592591,0.25736647601123347,0.7496230158730158,0.9152777777777779,0.9944444444444445
Cand-Obs,candidate_observability,7,low_mrr_degree_q25,False,47,47,752,0.9148163120248924,0.16184283311962516,0.859938471225678,0.9591503267973857,0.9895876790432485
Cand-Obs,candidate_observability,7,low_mrr_degree_q25,True,16,16,223,0.640966360198897,0.3204311988523428,0.47344771241830064,0.7558721405228758,0.8279207516339869
Cand-Obs,candidate_observability,42,far_and_low_mrr,False,55,55,762,0.9152158052385325,0.14568801062651598,0.8559491014036469,0.9690836940836941,0.9903030303030304
Cand-Obs,candidate_observability,42,far_and_low_mrr,True,8,8,95,0.8410703502415459,0.208852281812042,0.7065217391304348,1.0,1.0
Cand-Obs,candidate_observability,42,far_hard_current,False,45,45,617,0.9098007989952434,0.13773182695749872,0.8470859387526054,0.9696208112874779,0.9881481481481482
Cand-Obs,candidate_observability,42,far_hard_current,True,18,18,240,0.895799785292539,0.19594078908293472,0.811694847020934,0.9814814814814815,1.0
Cand-Obs,candidate_observability,42,low_mrr_degree_q25,False,50,50,702,0.9262373857623858,0.13417505514871256,0.8682106782106783,0.9826587301587302,0.996
Cand-Obs,candidate_observability,42,low_mrr_degree_q25,True,13,13,155,0.8271971386101822,0.20545322331691862,0.7168338907469342,0.9358974358974359,0.9743589743589743
Cand-Obs,candidate_observability,123,far_and_low_mrr,False,52,52,774,0.8438728382697328,0.22859310767099317,0.7415490555196438,0.9348436285936287,0.966520979020979
Cand-Obs,candidate_observability,123,far_and_low_mrr,True,11,11,141,0.806547619047619,0.2825248027436475,0.7234848484848485,0.8358585858585859,0.9583333333333333
Cand-Obs,candidate_observability,123,far_hard_current,False,41,41,579,0.8551015943366801,0.2258496787292912,0.7697695338297921,0.9282027593003203,0.9588938162108894
Cand-Obs,candidate_observability,123,far_hard_current,True,22,22,336,0.8042839105339105,0.25806514284720655,0.6799242424242423,0.8977272727272727,0.9766414141414141
Cand-Obs,candidate_observability,123,low_mrr_degree_q25,False,46,46,703,0.864040872489536,0.22221621736053734,0.7716281374209764,0.9471618357487922,0.980072463768116
Cand-Obs,candidate_observability,123,low_mrr_degree_q25,True,17,17,212,0.7651488979430155,0.26603023541434534,0.6484699940582294,0.8374628639334523,0.924554367201426
