method_short,method,hard_definition,is_hard_under_definition,seed_count,scenario_count_mean,scenario_count_min,scenario_count_max,scenario_mrr_mean,scenario_mrr_std_across_seed,scenario_top1_mean,scenario_top1_std_across_seed,scenario_top3_mean,scenario_top3_std_across_seed,scenario_top5_mean,scenario_top5_std_across_seed
Cand-Obs,candidate_observability,far_and_low_mrr,False,3,54.666666666666664,52,57,0.8679281546295717,0.04095437400296831,0.7863528254830054,0.06109700392242506,0.9353677017570207,0.03345703430517042,0.9666451548107894,0.023596032655060002
Cand-Obs,candidate_observability,far_and_low_mrr,True,3,8.333333333333334,6,11,0.8327708045778698,0.02321416360375782,0.7312984921680573,0.02947095584738194,0.9313973063973066,0.08532152787784329,0.986111111111111,0.024056261216234432
Cand-Obs,candidate_observability,far_hard_current,False,3,43.0,41,45,0.8707941562514715,0.03399500729879349,0.7947643143401741,0.04532685645158217,0.9339137797485496,0.0332217439129514,0.9580718489901255,0.03049559202876162
Cand-Obs,candidate_observability,far_hard_current,True,3,20.0,18,22,0.8468643183619028,0.04608773063796718,0.7470807017727307,0.06592207960678122,0.9314955106621774,0.04416959379418375,0.9903619528619529,0.012202702015089422
Cand-Obs,candidate_observability,low_mrr_degree_q25,False,3,47.666666666666664,46,50,0.9016981900922714,0.03310838878750036,0.8332590956191108,0.05353399488564093,0.9629902975683026,0.018057309041734155,0.9885533809371214,0.008013983530913222
Cand-Obs,candidate_observability,low_mrr_degree_q25,True,3,15.333333333333334,13,17,0.7444374655840317,0.09482720221375766,0.612917199074488,0.125527721534812,0.8430774801179214,0.09014388320817213,0.9089446977314625,0.07445659543945311
Degree,degree,far_and_low_mrr,False,3,54.666666666666664,52,57,0.8279121754121662,0.042931560179789406,0.7246638848850341,0.046516930074725016,0.9173885869319305,0.061182851225802526,0.9540912886372123,0.051236745450175626
Degree,degree,far_and_low_mrr,True,3,8.333333333333334,6,11,0.4100480748144546,0.057195418642027054,0.031272873664178004,0.016499873538876567,0.833509460547504,0.12700555274023498,0.9398285390133215,0.06645741063308694
Degree,degree,far_hard_current,False,3,43.0,41,45,0.8274308751156392,0.05667215963077712,0.7333782923839737,0.06694566395211568,0.9017090052887621,0.07698399530493814,0.9409301157224149,0.06835153676050931
Degree,degree,far_hard_current,True,3,20.0,18,22,0.6492048066115627,0.0596868721246979,0.41326362158097024,0.07066028652162433,0.9083057055350321,0.04491004505628903,0.9715970087346899,0.028384683813995483
Degree,degree,low_mrr_degree_q25,False,3,47.666666666666664,46,50,0.897374675996185,0.011798136633003426,0.8201206305731255,0.01938151437161466,0.9734179463747674,0.011725146885644237,0.9922359269537808,0.004784920019034518
Degree,degree,low_mrr_degree_q25,True,3,15.333333333333334,13,17,0.3780438914437266,0.04267209184221969,0.048288367849589064,0.01311640093469858,0.6855303850028913,0.14333608584074184,0.8231471193507639,0.1479740260348772
Two-stage v1,two_stage_balanced_layout_v1,far_and_low_mrr,False,3,54.666666666666664,52,57,0.8671614113442122,0.04010885479520484,0.7737275720375173,0.0551733963377,0.9543234299813248,0.03728095380767704,0.9853427856574309,0.01431910129934015
Two-stage v1,two_stage_balanced_layout_v1,far_and_low_mrr,True,3,8.333333333333334,6,11,0.8391161099060405,0.0697406677436547,0.7508417508417509,0.13958921994479653,0.9083543771043772,0.06763035535086691,0.9743265993265994,0.022456770323155077
Two-stage v1,two_stage_balanced_layout_v1,far_hard_current,False,3,43.0,41,45,0.8625959503875439,0.041762730967836746,0.7654672446738893,0.0600980246478584,0.9533782970412453,0.03851184157632173,0.9809408867410024,0.01927023072227122
