method_short,method,layout_file,monitor_budget_n,candidate_node_id,min_monitor_hop,nearest_monitor,observability_tier_layout,is_direct,is_near,is_far
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313402,0,HS1313402,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,MH0258475,5,HS1316563,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,VP0232532,15,HS1306571,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,MH0201629,15,HS1306571,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1308259,1,HS1308324,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1311339,3,MH0100292,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1311288,2,HS1313001,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313298,0,HS1313298,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS2003046,1,HS1306601,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1314505,2,HS2003013,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1316563,0,HS1316563,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1316814,9,HS1308324,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1316417,1,HS1313835,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313025,0,HS1313025,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,MH0201710,15,HS1306571,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1344263,3,HS1316563,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313471,1,HS1313487,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,MH0200661,15,HS1306571,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1314237,15,HS1306571,far,False,False,True
