method_short,method,seed,monitor_budget_n,scenario_id,n_windows,scenario_mrr,scenario_top1,scenario_top3,scenario_top5,source_json,defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,observability_tier,nearest_monitors,is_hard_candidate,min_monitor_hop,nearest_monitor,observability_tier_layout
Cand-Obs,candidate_observability,7,25,1,12,0.9027777777777778,0.8333333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,1,I,HS1313402,,60,8,12,61.7252,0.0,0.0,0.0,102.8754,direct,HS1313402,False,0,HS1313402,direct
Cand-Obs,candidate_observability,7,25,7,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,7,I,MH0258475,,40,8,12,1.1101,0.0,0.0,0.0,2.7753,far,HS1316563,True,3,HS1316585,far
Cand-Obs,candidate_observability,7,25,11,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,11,I,VP0232532,,60,14,6,0.8664,0.0,0.0,0.0,1.444,far,HS1306571,True,2,MH0201710,near
Cand-Obs,candidate_observability,7,25,24,18,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,24,I,HS1308259,,60,14,18,7.3777,0.0,0.0,0.0,12.2961,near,HS1308324,False,1,HS1308324,near
Cand-Obs,candidate_observability,7,25,26,17,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,26,I,HS1311339,,60,2,18,3.6022,0.0,0.0,0.0,6.0037,far,MH0100292,True,0,HS1311339,direct
Cand-Obs,candidate_observability,7,25,39,24,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,39,I,HS1313298,,40,8,24,12.8103,0.0,0.0,0.0,32.0259,direct,HS1313298,False,0,HS1313298,direct
Cand-Obs,candidate_observability,7,25,43,17,0.5,0.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,43,I,HS2003046,,60,2,18,44.5183,0.0,0.0,0.0,74.1972,near,HS1306601,False,1,HS1306601,near
Cand-Obs,candidate_observability,7,25,45,6,0.5,0.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,45,I,HS2003046,,60,8,6,44.5183,0.0,0.0,0.0,74.1972,near,HS1306601,False,1,HS1306601,near
Cand-Obs,candidate_observability,7,25,68,23,0.9347826086956522,0.8695652173913043,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,68,I,HS1313025,,60,2,24,13.3202,0.0,0.0,0.0,22.2003,direct,HS1313025,False,0,HS1313025,direct
Cand-Obs,candidate_observability,7,25,69,18,0.9166666666666666,0.8333333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,69,I,HS1313025,,60,20,18,13.3202,0.0,0.0,0.0,22.2003,direct,HS1313025,False,0,HS1313025,direct
Cand-Obs,candidate_observability,7,25,72,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,72,I,MH0201710,,60,20,12,9.4275,0.0,0.0,0.0,15.7126,far,HS1306571,True,0,MH0201710,direct
Cand-Obs,candidate_observability,7,25,73,24,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,73,I,MH0201710,,40,20,24,6.285,0.0,0.0,0.0,15.7126,far,HS1306571,True,0,MH0201710,direct
Cand-Obs,candidate_observability,7,25,76,12,0.3680555555555556,0.0833333333333333,0.75,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,76,I,HS1344263,,40,14,12,5.6403,0.0,0.0,0.0,14.1007,far,HS1316563,True,1,HS1316585,near
Cand-Obs,candidate_observability,7,25,93,24,0.9583333333333334,0.9166666666666666,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,93,I,HS1314237,,50,14,24,13.6559,0.0,0.0,0.0,27.3118,far,HS1306601,True,2,HS2003111,near
Cand-Obs,candidate_observability,7,25,104,17,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,104,I,HS1316202,,40,2,18,30.3413,0.0,0.0,0.0,75.8532,near,HS1316267,False,0,HS1316202,direct
