method_short,method,seed,start_hour,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
Cand-Obs,candidate_observability,7,0,5,5,81,0.8485714285714285,0.19437672938181172,0.6971428571428572,1.0,1.0
Cand-Obs,candidate_observability,7,2,12,12,186,0.8983873259448707,0.1625028608412337,0.8049445865302642,0.9901960784313726,0.9901960784313726
Cand-Obs,candidate_observability,7,6,10,10,138,0.7926584757834758,0.338541779982099,0.725,0.8,0.8402777777777779
Cand-Obs,candidate_observability,7,8,8,8,126,0.8807291666666667,0.17011388300205033,0.7725694444444444,0.9861111111111112,1.0
Cand-Obs,candidate_observability,7,12,8,8,126,0.7362912357704025,0.29403820496845995,0.6597222222222222,0.7430555555555556,0.875
Cand-Obs,candidate_observability,7,14,8,8,126,0.8072131283068783,0.2862960716354305,0.7083333333333334,0.9166666666666666,0.9809027777777778
Cand-Obs,candidate_observability,7,18,5,5,72,0.8107407407407408,0.34206265319464857,0.7444444444444445,0.8333333333333334,0.9333333333333333
Cand-Obs,candidate_observability,7,20,7,7,120,0.9791666666666666,0.036084391824351636,0.9642857142857143,0.994047619047619,0.994047619047619
Cand-Obs,candidate_observability,42,0,11,11,105,0.9119624819624819,0.17360489908490492,0.8493506493506494,0.9532467532467532,1.0
Cand-Obs,candidate_observability,42,2,10,10,164,0.9371113306982872,0.10449564243100214,0.8997628458498024,0.9800000000000001,0.9800000000000001
Cand-Obs,candidate_observability,42,6,3,3,42,0.8125,0.3247595264191645,0.6666666666666666,1.0,1.0
Cand-Obs,candidate_observability,42,8,4,4,36,0.9375,0.07978559231302815,0.875,1.0,1.0
Cand-Obs,candidate_observability,42,12,9,9,150,0.9560185185185185,0.07114055259550606,0.9243827160493827,0.9876543209876544,1.0
Cand-Obs,candidate_observability,42,14,10,10,132,0.8265740740740741,0.1653594137357159,0.6916666666666667,0.9666666666666666,1.0
Cand-Obs,candidate_observability,42,18,4,4,72,0.9855324074074073,0.01796779478733806,0.9756944444444444,1.0,1.0
Cand-Obs,candidate_observability,42,20,12,12,156,0.8885995370370371,0.19489743822825578,0.8125,0.9548611111111112,0.9722222222222222
Cand-Obs,candidate_observability,123,0,8,8,90,0.7012698412698413,0.29096815952208094,0.4857142857142857,0.8916666666666666,0.9916666666666667
Cand-Obs,candidate_observability,123,2,3,3,39,0.7535862829980476,0.08122314607817213,0.5490196078431372,0.9696969696969697,0.9696969696969697
Cand-Obs,candidate_observability,123,6,8,8,120,0.9122395833333333,0.14222091310897686,0.8576388888888888,0.9583333333333334,0.96875
Cand-Obs,candidate_observability,123,8,12,12,186,0.853725749559083,0.20878406492261187,0.7673611111111112,0.9212962962962963,0.9571759259259259
Cand-Obs,candidate_observability,123,12,7,7,84,0.7754062736205594,0.29901603945340255,0.7063492063492064,0.7738095238095237,0.888888888888889
Cand-Obs,candidate_observability,123,14,9,9,132,0.7827917883921468,0.3263136284421152,0.6666666666666666,0.8518518518518517,0.9444444444444444
Cand-Obs,candidate_observability,123,18,4,4,90,0.841724537037037,0.2481991303781568,0.7430555555555556,0.9895833333333334,1.0
Cand-Obs,candidate_observability,123,20,12,12,174,0.9583333333333334,0.14433756729740643,0.9166666666666666,1.0,1.0
Degree,degree,7,0,5,5,81,0.7796825396825396,0.20699349964172292,0.6438095238095238,0.8666666666666666,0.9333333333333332
Degree,degree,7,2,12,12,186,0.8800338790738595,0.261927820811793,0.8382352941176471,0.9117647058823529,0.9362745098039215
Degree,degree,7,6,10,10,138,0.6060335998877665,0.33810647124687937,0.4,0.775,0.7916666666666667
Degree,degree,7,8,8,8,126,0.7968832671957672,0.29297124919032386,0.6753472222222222,0.8958333333333334,0.9930555555555556
Degree,degree,7,12,8,8,126,0.6382613335738335,0.344860762497694,0.5173611111111112,0.6527777777777778,0.7916666666666666
Degree,degree,7,14,8,8,126,0.7340303308823529,0.2536795515477068,0.5416666666666666,0.9461805555555556,0.9791666666666667
Degree,degree,7,18,5,5,72,0.7564814814814815,0.3766481841126227,0.6555555555555556,0.8,0.8
Degree,degree,7,20,7,7,120,0.8045634920634921,0.2231760696268438,0.6130952380952381,1.0,1.0
Degree,degree,42,0,11,11,105,0.7256854256854257,0.25508861825930473,0.49754689754689757,0.9913419913419914,1.0
Degree,degree,42,2,10,10,164,0.8181935817805384,0.2461271592716078,0.688695652173913,0.9434782608695652,0.9826086956521738
Degree,degree,42,6,3,3,42,0.7191302910052909,0.4864806062859212,0.6666666666666666,0.7083333333333334,0.75
Degree,degree,42,8,4,4,36,1.0,0.0,1.0,1.0,1.0
Degree,degree,42,12,9,9,150,0.8338477366255144,0.2340794540846536,0.7422839506172839,0.9012345679012346,1.0
Degree,degree,42,14,10,10,132,0.704589947089947,0.31231668599759793,0.5569444444444445,0.8402777777777779,0.9333333333333333
Degree,degree,42,18,4,4,72,0.8940972222222222,0.15788750993090325,0.8020833333333333,0.9791666666666666,1.0
Degree,degree,42,20,12,12,156,0.8270667989417989,0.2725909456910907,0.7372685185185185,0.875,0.9583333333333334
Degree,degree,123,0,8,8,90,0.6871527777777777,0.282042412020126,0.45833333333333337,0.95,0.9833333333333334
Degree,degree,123,2,3,3,39,0.6019972451790633,0.35164970259867273,0.45454545454545453,0.8181818181818182,0.8484848484848485
Degree,degree,123,6,8,8,120,0.7432050540123456,0.2821762834380221,0.59375,0.9236111111111112,0.9444444444444444
Degree,degree,123,8,12,12,186,0.749633487654321,0.2580563245606525,0.5902777777777778,0.9421296296296297,0.9953703703703703
Degree,degree,123,12,7,7,84,0.7516534391534392,0.2736731010628298,0.5476190476190477,0.9325396825396826,1.0
Degree,degree,123,14,9,9,132,0.8935185185185185,0.20436026346614117,0.8271604938271605,0.9814814814814815,1.0
Degree,degree,123,18,4,4,90,0.7672453703703703,0.2699079037223059,0.5833333333333334,0.9305555555555556,1.0
Degree,degree,123,20,12,12,174,0.7959876543209877,0.2572272864136957,0.6458333333333334,0.9722222222222222,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,0,5,5,81,0.7417460317460318,0.2239836652252345,0.579047619047619,0.8571428571428571,0.9333333333333332
Two-stage v1,two_stage_balanced_layout_v1,7,2,12,12,186,0.8365480250071043,0.27170754996292595,0.7289002557544757,0.9166666666666666,0.9565217391304347
Two-stage v1,two_stage_balanced_layout_v1,7,6,10,10,138,0.9199074074074074,0.11523655616798735,0.8638888888888889,0.9777777777777779,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,8,8,8,126,0.9036458333333334,0.16292245571522254,0.8229166666666667,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,12,8,8,126,0.7379381613756614,0.2830756924119761,0.611111111111111,0.7881944444444444,0.8958333333333333
Two-stage v1,two_stage_balanced_layout_v1,7,14,8,8,126,0.6475755147630148,0.3415722757639678,0.4583333333333333,0.78125,0.9895833333333334
Two-stage v1,two_stage_balanced_layout_v1,7,18,5,5,72,0.8972222222222221,0.1744700971938023,0.8222222222222222,0.9666666666666666,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,20,7,7,120,0.9255952380952381,0.1558360919881449,0.8511904761904762,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,42,0,11,11,105,0.8409812409812409,0.21369680178911088,0.7324675324675325,0.9350649350649352,1.0
Two-stage v1,two_stage_balanced_layout_v1,42,2,10,10,164,0.9400000000000001,0.18973665961010275,0.9,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,42,6,3,3,42,0.5785320004070004,0.3405607176863657,0.3333333333333333,0.8055555555555555,0.8888888888888888
Two-stage v1,two_stage_balanced_layout_v1,42,8,4,4,36,0.9568452380952381,0.059000677385711346,0.9444444444444444,0.9444444444444444,0.9861111111111112
Two-stage v1,two_stage_balanced_layout_v1,42,12,9,9,150,0.9782578875171468,0.06522633744855963,0.9691358024691357,0.9876543209876544,0.9938271604938271
Two-stage v1,two_stage_balanced_layout_v1,42,14,10,10,132,0.795462962962963,0.2656862299090758,0.65,0.95,0.9944444444444445
Two-stage v1,two_stage_balanced_layout_v1,42,18,4,4,72,0.8916933760683761,0.10514993141576671,0.8263888888888888,0.9305555555555556,0.9722222222222222
Two-stage v1,two_stage_balanced_layout_v1,42,20,12,12,156,0.865895061728395,0.25931241438413766,0.7893518518518517,0.9166666666666666,0.9861111111111112
Two-stage v1,two_stage_balanced_layout_v1,123,0,8,8,90,0.8319444444444445,0.1851104346488145,0.6777777777777778,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,123,2,3,3,39,0.9292929292929294,0.08615516216783833,0.8787878787878789,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,123,6,8,8,120,0.8657407407407407,0.18846305355522497,0.7395833333333334,0.9895833333333334,0.9895833333333334
Two-stage v1,two_stage_balanced_layout_v1,123,8,12,12,186,0.9565972222222222,0.11881901827964354,0.9270833333333334,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,123,12,7,7,84,0.7575050390526581,0.2615028843171307,0.615079365079365,0.9206349206349207,0.9206349206349207
Two-stage v1,two_stage_balanced_layout_v1,123,14,9,9,132,0.9513888888888888,0.08333333333333337,0.9027777777777778,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,123,18,4,4,90,0.806712962962963,0.21138454920027516,0.65625,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,123,20,12,12,174,0.8883101851851851,0.18186770952772643,0.7835648148148149,0.9953703703703703,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,0,5,5,81,0.8317460317460318,0.19899913335702132,0.6666666666666666,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,2,12,12,186,0.8399332196646774,0.2663008076487331,0.7549019607843137,0.926470588235294,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,6,10,10,138,0.8207242063492064,0.27714940932486304,0.7277777777777777,0.9041666666666666,0.9888888888888889
