method_short,method,start_hour,seed_count,scenario_count_mean,scenario_count_min,scenario_count_max,scenario_mrr_mean,scenario_mrr_std_across_seed,scenario_top1_mean,scenario_top1_std_across_seed,scenario_top3_mean,scenario_top3_std_across_seed,scenario_top5_mean,scenario_top5_std_across_seed
Cand-Obs,candidate_observability,0,3,8.0,5,11,0.8206012506012504,0.10809530680039772,0.6774025974025975,0.1826201238380621,0.9483044733044732,0.054335507507049935,0.9972222222222222,0.004811252243246865
Cand-Obs,candidate_observability,2,3,8.333333333333334,3,12,0.8630283132137352,0.09673704367683693,0.7512423467410679,0.18143360402811906,0.9799643493761141,0.010249600867909669,0.9799643493761141,0.010249600867909669
Cand-Obs,candidate_observability,6,3,7.0,3,10,0.8391326863722698,0.06408498504537088,0.7497685185185184,0.09786576034203742,0.9194444444444444,0.1055189995179032,0.9363425925925926,0.08464914121864134
Cand-Obs,candidate_observability,8,3,8.0,4,12,0.8906516387419167,0.0427594767074792,0.8049768518518517,0.060697715290288355,0.9691358024691358,0.042008202434617906,0.9857253086419754,0.02472449069446312
Cand-Obs,candidate_observability,12,3,8.0,7,9,0.8225720093031601,0.11721123949019716,0.7634847148736038,0.14127860417970314,0.834839800117578,0.13323160279154792,0.9212962962962963,0.06851226197661453
Cand-Obs,candidate_observability,14,3,9.0,8,10,0.8055263302576998,0.021939829092942096,0.6888888888888888,0.020971762320196537,0.9117283950617283,0.057566486084119815,0.9751157407407408,0.02822626944041018
Cand-Obs,candidate_observability,18,3,4.333333333333333,4,5,0.879332561728395,0.09326738081943285,0.8210648148148149,0.13391498804328714,0.9409722222222223,0.09336340041492183,0.9777777777777779,0.03849001794597505
Cand-Obs,candidate_observability,20,3,10.333333333333334,7,12,0.9420331790123457,0.04743282107890632,0.8978174603174603,0.07762857206146682,0.9829695767195767,0.02452390851592146,0.9887566137566136,0.014625227769507915
Degree,degree,0,3,8.0,5,11,0.7308402477152477,0.04647976282380681,0.5332299182299183,0.09775128020741561,0.936002886002886,0.06350530328965104,0.9722222222222222,0.03469443332443564
Degree,degree,2,3,8.333333333333334,3,12,0.7667415686778204,0.14598484402885437,0.6604921336123383,0.193393516158566,0.8911415949779121,0.06514433333056387,0.9224560179803145,0.06812132288755356
Degree,degree,6,3,7.0,3,10,0.6894563149684677,0.07324213675909752,0.5534722222222223,0.13782054387795314,0.8023148148148148,0.1102075529739695,0.8287037037037037,0.10237659438655544
Degree,degree,8,3,8.0,4,12,0.8488389182833628,0.13302401995875304,0.7552083333333334,0.2162207729303661,0.9459876543209877,0.05219039065767234,0.996141975308642,0.0035359380362313527
Degree,degree,12,3,8.0,7,9,0.7412541697842624,0.09820702045797525,0.6024213697824808,0.12206572745352574,0.8288506760728983,0.1532848710283063,0.9305555555555555,0.1202813060811721
Degree,degree,14,3,9.0,8,10,0.7773795988302729,0.10165072822771914,0.6419238683127572,0.16060139537821352,0.9226466049382717,0.07348473724967246,0.9708333333333333,0.034105636549468556
Degree,degree,18,3,4.333333333333333,4,5,0.8059413580246914,0.07653468246692616,0.680324074074074,0.11145851361471514,0.9032407407407407,0.09265391487890201,0.9333333333333332,0.11547005383792512
