method_short,method,seed,embedding_seed,scenario_id,scenario_mrr,scenario_top1,scenario_top3,scenario_top5,n_windows
embedding-guided clean,embedding_guided_clean,7,42,1,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,7,42,7,0.9583333333333334,0.9166666666666666,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,7,42,11,0.5,0.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,7,42,24,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,7,42,26,0.46078431372549017,0.0,1.0,1.0,17
embedding-guided clean,embedding_guided_clean,7,42,39,0.625,0.25,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,7,42,43,0.9607843137254901,0.9411764705882353,1.0,1.0,17
embedding-guided clean,embedding_guided_clean,7,42,45,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,7,42,68,0.8478260869565217,0.6956521739130435,1.0,1.0,23
embedding-guided clean,embedding_guided_clean,7,42,69,0.6666666666666666,0.3333333333333333,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,7,42,72,0.7986111111111112,0.6666666666666666,0.9166666666666666,1.0,12
embedding-guided clean,embedding_guided_clean,7,42,73,0.4097222222222221,0.0,0.9166666666666666,1.0,24
embedding-guided clean,embedding_guided_clean,7,42,76,0.9166666666666666,0.8333333333333334,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,7,42,93,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,7,42,104,1.0,1.0,1.0,1.0,17
embedding-guided clean,embedding_guided_clean,7,42,113,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,7,42,138,0.8,0.6,1.0,1.0,5
embedding-guided clean,embedding_guided_clean,7,42,150,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,7,42,152,1.0,1.0,1.0,1.0,17
embedding-guided clean,embedding_guided_clean,7,42,153,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,7,42,168,0.875,0.75,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,7,42,176,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,7,42,184,1.0,1.0,1.0,1.0,5
embedding-guided clean,embedding_guided_clean,7,42,186,0.7647058823529411,0.5294117647058824,1.0,1.0,17
embedding-guided clean,embedding_guided_clean,7,42,190,0.8333333333333334,0.6666666666666666,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,7,42,192,0.19722222222222222,0.0,0.0,0.6666666666666666,6
embedding-guided clean,embedding_guided_clean,7,42,193,0.12810559006211178,0.0,0.0,0.0,23
embedding-guided clean,embedding_guided_clean,7,42,196,0.610171657046657,0.5416666666666666,0.5833333333333334,0.6666666666666666,24
embedding-guided clean,embedding_guided_clean,7,42,197,1.0,1.0,1.0,1.0,17
embedding-guided clean,embedding_guided_clean,7,42,202,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,7,42,212,1.0,1.0,1.0,1.0,5
embedding-guided clean,embedding_guided_clean,7,42,219,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,7,42,225,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,7,42,234,0.6388888888888888,0.2916666666666667,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,7,42,248,1.0,1.0,1.0,1.0,23
embedding-guided clean,embedding_guided_clean,7,42,251,0.45,0.16666666666666666,0.5,1.0,6
embedding-guided clean,embedding_guided_clean,7,42,252,0.24058956916099772,0.047619047619047616,0.14285714285714285,0.5238095238095238,21
embedding-guided clean,embedding_guided_clean,7,42,253,0.5888888888888888,0.2,1.0,1.0,15
embedding-guided clean,embedding_guided_clean,7,42,258,0.6666666666666666,0.3333333333333333,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,7,42,261,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,7,42,276,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,7,42,280,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,7,42,291,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,7,42,292,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,7,42,312,0.9365079365079364,0.9047619047619048,1.0,1.0,21
embedding-guided clean,embedding_guided_clean,7,42,313,1.0,1.0,1.0,1.0,3
embedding-guided clean,embedding_guided_clean,7,42,318,1.0,1.0,1.0,1.0,6
