method_key,method_short,method,budget,layout_seed_a,layout_seed_b,intersection_count,union_count,jaccard
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,2,23,27,0.8518518518518519
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,3,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,4,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,5,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,6,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,7,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,8,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,9,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,10,23,27,0.8518518518518519
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,3,23,27,0.8518518518518519
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,4,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,5,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,6,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,7,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,8,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,9,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,10,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,3,4,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,3,5,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,3,6,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,3,7,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,3,8,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,3,9,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,3,10,23,27,0.8518518518518519
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,4,5,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,4,6,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,4,7,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,4,8,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,4,9,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,4,10,22,28,0.7857142857142857
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,5,6,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,5,7,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,5,8,25,25,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,5,9,25,25,1.0
