method_key,method_short,method,budget,direct,near,far,mean_hop,overlap_count,monitor_dispersion_mean_hop,monitor_redundancy_mean_jaccard,global_mean_hop,diagnosis_seed_count,window_mrr_mean,window_top1_mean,window_top3_mean,window_top5_mean,event_mrr_mean_mean,event_top1_mean_mean,event_top3_mean_mean,event_top5_mean_mean,direct_mean,near_mean,far_mean,mean_hop_mean,overlap_count_mean,window_mrr_std,window_top1_std,window_top3_std,window_top5_std,event_mrr_mean_std,event_top1_mean_std,event_top3_mean_std,event_top5_mean_std,direct_std,near_std,far_std,mean_hop_std,overlap_count_std,window_mrr_min,window_top1_min,window_top3_min,window_top5_min,event_mrr_mean_min,event_top1_mean_min,event_top3_mean_min,event_top5_mean_min,direct_min,near_min,far_min,mean_hop_min,overlap_count_min,window_mrr_max,window_top1_max,window_top3_max,window_top5_max,event_mrr_mean_max,event_top1_mean_max,event_top3_mean_max,event_top5_mean_max,direct_max,near_max,far_max,mean_hop_max,overlap_count_max
candidate_observability,Cand-Obs,candidate_observability,5,3,20,27,5.38,3,11.9,0.03111111111111111,,2.0,0.571518881107658,0.3860856590852574,0.6986756444835523,0.8100815527542387,0.5767887292617235,0.4013319132366752,0.6898407386670083,0.8108148734534071,3.0,20.0,27.0,5.38,3.0,0.023823054133772066,0.0035059792582503406,0.04746778501910963,0.08620578989441215,0.007223585053642549,0.024954995040019964,0.04087637874579946,0.0834589243746322,0.0,0.0,0.0,0.0,0.0,0.5546734379810936,0.3836065573770492,0.6651108518086347,0.7491248541423571,0.571680883285815,0.38368606701940045,0.6609367740655039,0.7518005020775693,3.0,20.0,27.0,5.38,3.0,0.5883643242342225,0.3885647607934656,0.73224043715847,0.8710382513661202,0.5818965752376319,0.41897775945395,0.7187447032685128,0.8698292448292447,3.0,20.0,27.0,5.38,3.0
candidate_observability,Cand-Obs,candidate_observability,10,6,30,14,2.36,6,12.488888888888889,0.008641975308641974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_observability,Cand-Obs,candidate_observability,15,9,33,8,1.52,9,13.095238095238095,0.010748299319727891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_observability,Cand-Obs,candidate_observability,20,12,35,3,1.2,12,12.963157894736842,0.0056265664160401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_observability,Cand-Obs,candidate_observability,25,15,34,1,0.94,15,12.526666666666667,0.015628306878306877,,1.0,0.909694677194887,0.8413068844807468,0.9801633605600933,0.9964994165694282,0.9058005093658993,0.8369741982578419,0.9730095742000503,0.9915343915343916,15.0,34.0,1.0,0.94,15.0,,,,,,,,,,,,,,0.909694677194887,0.8413068844807468,0.9801633605600933,0.9964994165694282,0.9058005093658993,0.8369741982578419,0.9730095742000503,0.9915343915343916,15.0,34.0,1.0,0.94,15.0,0.909694677194887,0.8413068844807468,0.9801633605600933,0.9964994165694282,0.9058005093658993,0.8369741982578419,0.9730095742000503,0.9915343915343916,15.0,34.0,1.0,0.94,15.0
degree,Degree,degree,5,3,13,34,5.78,3,3.9,0.10277777777777777,,3.0,0.5598805918693318,0.38911425315082754,0.6593395569197548,0.7947235968032876,0.5707366644110458,0.40520545406470787,0.6625142229829032,0.7974948745906404,3.0,13.0,34.0,5.78,3.0,0.021124152381896733,0.026381344874859082,0.037733454958582775,0.02765011259193982,0.01736674525227189,0.017546907033769304,0.03457219045249396,0.03905006882441166,0.0,0.0,0.0,0.0,0.0,0.546352125139192,0.3617269544924154,0.6163934426229508,0.7639344262295082,0.559352881342348,0.38679876430150456,0.6231277696263691,0.7528581803091607,3.0,13.0,34.0,5.78,3.0,0.584222232745244,0.41435897435897434,0.6871794871794872,0.8174358974358974,0.5907257917950591,0.42174291616807746,0.6878436559809109,0.825343322807091,3.0,13.0,34.0,5.78,3.0
degree,Degree,degree,10,6,17,27,5.1,6,9.622222222222222,0.06710758377425044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degree,Degree,degree,15,8,19,23,3.9,8,9.647619047619047,0.08932350718065003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degree,Degree,degree,20,12,18,20,3.64,12,9.294736842105262,0.07945906432748538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degree,Degree,degree,25,12,21,17,3.48,12,9.78,0.06839550264550263,,1.0,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025671,0.7995807293663572,0.6772306023858821,0.9110333344287797,0.9668161950770647,12.0,21.0,17.0,3.48,12.0,,,,,,,,,,,,,,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025671,0.7995807293663572,0.6772306023858821,0.9110333344287797,0.9668161950770647,12.0,21.0,17.0,3.48,12.0,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025671,0.7995807293663572,0.6772306023858821,0.9110333344287797,0.9668161950770647,12.0,21.0,17.0,3.48,12.0
