"method","budget","tag","mrr","top1","top3","top5","event_top1","event_top3","event_top5","active_f1","normal_fpr","scene_f1"
"Betweenness","5","48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N5_s42","0.6022712946805644","0.4360730593607306","0.6894977168949772","0.8527397260273972","0.4426229508196721","0.6885245901639344","0.8688524590163934","0.992609437180216","0.005274261603375527","1.0"
"Betweenness","10","48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N10_s42","0.6704309582199952","0.4965753424657534","0.8162100456621004","0.9166666666666666","0.6065573770491803","0.8852459016393442","0.9672131147540983","0.9781859931113663","0.007383966244725738","0.9833333333333333"
"Betweenness","15","48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N15_s42","0.8261827811530736","0.7054794520547946","0.9383561643835616","0.9680365296803652","0.6885245901639344","0.9672131147540983","0.9672131147540983","0.9772859638905068","0.0010548523206751054","1.0"
"Betweenness","20","48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N20_s42","0.8657833289644218","0.7796803652968036","0.95662100456621","0.9942922374429224","0.8032786885245902","1.0","1.0","0.9838709677419354","0.0031645569620253164","1.0"
"Betweenness","25","48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N25_s42","0.8575152626864986","0.7602739726027398","0.9417808219178082","0.978310502283105","0.7704918032786885","0.9672131147540983","0.9836065573770492","0.979045401629802","0.0005274261603375527","0.9833333333333333"
"Cand-Obs","5","ch5_fixed_candidate_observability_N5_normal20_rawres_loc0p5_s42","0.5848832278253009","0.4098173515981735","0.7054794520547946","0.8458904109589042","0.5081967213114754","0.7049180327868853","0.9180327868852459","0.9845094664371773","0.004746835443037975","0.9917355371900827"
"Cand-Obs","10","ch5_fixed_candidate_observability_N10_normal20_rawres_loc0p5_s42","0.6509642241071892","0.4703196347031963","0.8162100456621004","0.9075342465753424","0.5409836065573771","0.8524590163934426","0.9508196721311475","0.9873271889400921","0.0015822784810126582","1.0"
"Cand-Obs","15","ch5_fixed_candidate_observability_N15_normal20_rawres_loc0p5_s42","0.7329733210347898","0.5856164383561644","0.8550228310502284","0.9166666666666666","0.6065573770491803","0.9180327868852459","0.9508196721311475","0.9791183294663572","0.002109704641350211","0.9917355371900827"
"Cand-Obs","20","ch5_fixed_candidate_observability_N20_normal20_rawres_loc0p5_s42","0.7990414489604974","0.6929223744292238","0.8926940639269406","0.9463470319634704","0.6885245901639344","0.9672131147540983","1.0","0.9886621315192743","0.008438818565400843","1.0"
"Cand-Obs","25","ch5_fixed_candidate_observability_N25_normal20_rawres_loc0p5_s42","0.8904739259720937","0.8139269406392694","0.958904109589041","0.9771689497716894","0.8524590163934426","0.9836065573770492","1.0","0.9790697674418605","0.0010548523206751054","0.9917355371900827"
"Degree","5","48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s42","0.5413952134209409","0.3732876712328767","0.6449771689497716","0.7591324200913242","0.36065573770491804","0.6885245901639344","0.8032786885245902","0.9389889599070307","0.019514767932489453","0.9833333333333333"
"Degree","10","48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N10_s42","0.7204908141738748","0.6187214611872146","0.7899543378995434","0.8424657534246576","0.6229508196721312","0.8360655737704918","0.9016393442622951","0.9862227324913891","0.003691983122362869","0.9836065573770492"
"Degree","15","48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N15_s42","0.7809943212153705","0.6598173515981736","0.889269406392694","0.9383561643835616","0.6721311475409836","0.9016393442622951","0.9836065573770492","0.964622641509434","0.0010548523206751054","0.9747899159663865"
"Degree","20","48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N20_s42","0.7872082057438757","0.6621004566210046","0.906392694063927","0.9634703196347032","0.7049180327868853","0.9344262295081968","0.9836065573770492","0.9718640093786636","0.0005274261603375527","0.9833333333333333"
"Degree","25","48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42","0.8457453866493484","0.7728310502283106","0.8972602739726028","0.9463470319634704","0.819672131147541","0.9508196721311475","0.9836065573770492","0.979045401629802","0.0005274261603375527","0.9917355371900827"
"Embedding-Guided","5","ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s42","0.6067046794240878","0.4280821917808219","0.7157534246575342","0.8550228310502284","0.4262295081967213","0.7213114754098361","0.9016393442622951","0.9798270893371758","0.004746835443037975","0.9917355371900827"
