experiment,method_key,method,budget,diagnosis_seed,source,metrics_file,mrr,top1,top3,top5,event_top1,event_top3,normal_window_fpr,scene_f1
embedding_source_ablation,topology_diversity,Topology-Diversity,25,42,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_embedding_source_topology_diversity_N25_normal20_rawres_loc0p5_s42.json,0.7936240443151835,0.6689497716894978,0.9143835616438356,0.980593607305936,0.7377049180327869,0.9344262295081968,0.0015822784810126582,0.9833333333333333
embedding_source_ablation,coordinate_diversity,Coordinate-Diversity,25,42,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_embedding_source_coordinate_diversity_N25_normal20_rawres_loc0p5_s42.json,0.8149516270177005,0.7077625570776256,0.9189497716894978,0.9509132420091324,0.7540983606557377,0.9344262295081968,0.0015822784810126582,0.9917355371900827
low_budget_confirmation,degree,Degree,5,7,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s7.json,0.6097484050846812,0.42885572139303485,0.7432835820895523,0.8865671641791045,0.5,0.75,0.011884550084889643,1.0
low_budget_confirmation,degree,Degree,5,123,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s123.json,0.635629014807871,0.4735632183908046,0.7505747126436781,0.8781609195402299,0.5573770491803278,0.819672131147541,0.024185068349106203,1.0
low_budget_confirmation,two_stage_v1,Two-stage v1,5,7,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s7.json,0.3739180061725242,0.20696517412935322,0.4646766169154229,0.5313432835820896,0.25,0.515625,0.001697792869269949,1.0
low_budget_confirmation,two_stage_v1,Two-stage v1,5,123,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s123.json,0.40948514558117965,0.2655172413793103,0.47126436781609193,0.5735632183908046,0.29508196721311475,0.5081967213114754,0.0026288117770767614,1.0
low_budget_confirmation,embedding_guided,Embedding-Guided,5,7,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s7.json,0.54861323851258,0.36716417910447763,0.6218905472636815,0.8517412935323383,0.390625,0.625,0.0022637238256932655,1.0
low_budget_confirmation,embedding_guided,Embedding-Guided,5,123,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s123.json,0.604475359378875,0.4114942528735632,0.7390804597701149,0.8563218390804598,0.47540983606557374,0.7704918032786885,0.005257623554153523,0.9917355371900827
embedding_source_ablation,embedding_guided,Embedding-Guided,25,42,existing_formal_result,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s42.json,0.8822670256438321,0.7968036529680366,0.9714611872146118,0.997716894977169,0.7868852459016393,0.9672131147540983,0.0015822784810126582,0.9917355371900827
low_budget_confirmation,degree,Degree,5,42,existing_formal_result,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s42.json,0.5413952134209409,0.3732876712328767,0.6449771689497716,0.7591324200913242,0.36065573770491804,0.6885245901639344,0.019514767932489453,0.9833333333333333
low_budget_confirmation,two_stage_v1,Two-stage v1,5,42,existing_formal_result,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s42.json,0.3151387036161404,0.16095890410958905,0.3664383561643836,0.4828767123287671,0.22950819672131148,0.4262295081967213,0.004746835443037975,1.0
low_budget_confirmation,embedding_guided,Embedding-Guided,5,42,existing_formal_result,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s42.json,0.6067046794240878,0.4280821917808219,0.7157534246575342,0.8550228310502284,0.4262295081967213,0.7213114754098361,0.004746835443037975,0.9917355371900827
