method_short,observability_tier,mrr_mean,top1_mean,scenario_count
Cand-Obs,direct,0.9125471265947457,0.8676973819830962,21
Cand-Obs,far,0.895799785292539,0.811694847020934,18
Cand-Obs,near,0.907397762345679,0.8290509259259259,24
Degree,direct,0.7777257440818517,0.6539370337506983,21
Degree,far,0.601911159995399,0.3600040257648953,18
Degree,near,0.9669560185185185,0.9355324074074075,24
Two-stage v1,direct,0.8106101937451144,0.6931972789115646,21
Two-stage v1,far,0.8988911358703027,0.8518518518518519,18
Two-stage v1,near,0.9053075396825396,0.8310185185185185,24
v0_2 clean,direct,0.8650154308539401,0.7575309438663476,21
v0_2 clean,far,0.8577160493827161,0.7513083735909823,18
v0_2 clean,near,0.8929037397787397,0.8159722222222222,24
v2_2 clean,direct,0.896440214694183,0.8277021919879063,21
v2_2 clean,far,0.8341677646025472,0.7239331723027376,18
v2_2 clean,near,0.9424768518518518,0.8924768518518519,24
