method_short,method,observability_tier,seed_count,scenario_count_mean,mrr_mean,mrr_std_across_seed,top1_mean,top1_std_across_seed,top3_mean,top5_mean
Cand-Obs,candidate_observability,direct,3,18.666666666666668,0.9216746740051606,0.021492143596688242,0.8711619696919904,0.019782885843300204,0.9690854119425548,0.9798941798941799
Cand-Obs,candidate_observability,far,3,20.0,0.8468643183619028,0.04608773063796712,0.7470807017727307,0.06592207960678122,0.9314955106621774,0.9903619528619529
Cand-Obs,candidate_observability,near,3,24.333333333333332,0.8354340187486028,0.06239842915733966,0.7402612224889505,0.07695769248211222,0.9103658484919142,0.9431129943278281
Degree,degree,direct,3,18.666666666666668,0.7899063300111436,0.035855075645655744,0.6666915332960882,0.07206843439361738,0.8965041572184429,0.9554232804232804
Degree,degree,far,3,20.0,0.6492048066115627,0.0596868721246979,0.41326362158097024,0.07066028652162433,0.9083057055350321,0.9715970087346899
Degree,degree,near,3,24.333333333333332,0.8528917739356032,0.13013543994340382,0.7796266729584079,0.16472527683327504,0.9063667260678131,0.9300364123893535
Two-stage v1,two_stage_balanced_layout_v1,direct,3,18.666666666666668,0.8328511356442977,0.0731713000046285,0.7277701569575274,0.09449254791426184,0.9126039304610734,0.9656870638754697
Two-stage v1,two_stage_balanced_layout_v1,far,3,20.0,0.8614176294384627,0.03252352575569213,0.7754519400352734,0.06971782870158268,0.9390151515151515,0.9879349046015712
Two-stage v1,two_stage_balanced_layout_v1,near,3,24.333333333333332,0.8894775475897599,0.022662505533037745,0.7993307614364733,0.04513277571962687,0.9892801106569222,0.9948155373880012
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,direct,3,18.666666666666668,0.8996139734623171,0.05112160110806016,0.8245782158566838,0.08514030132376021,0.9859437816994753,0.9965986394557823
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,far,3,20.0,0.8343300712540908,0.06917095019009682,0.7263526780204103,0.10148421124300466,0.9243381886497829,0.9916526374859709
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,near,3,24.333333333333332,0.8590656291823171,0.0511661873033175,0.7634811663424195,0.06391019114892629,0.9585108950678004,0.9902022946859903
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,direct,3,18.666666666666668,0.9119345693839599,0.014957751520254232,0.8412377098401942,0.02480445066347665,0.9938271604938271,0.9973544973544973
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,far,3,20.0,0.803254334232595,0.028237169690560303,0.6781196192428077,0.04221832006880054,0.9302843247287692,0.9919753086419755
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,near,3,24.333333333333332,0.9115096351358428,0.08042538202713405,0.8540903486688866,0.1150939627701061,0.9651652931704083,0.9845718480628967
