method_short,method,seed,defect_type,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
Cand-Obs,candidate_observability,7,E,28,28,417,0.7897669818056723,0.29175782307924697,0.7048469387755103,0.8253968253968254,0.8953373015873015
Cand-Obs,candidate_observability,7,I,35,35,558,0.8896672267940993,0.18681799591228554,0.8073302074452969,0.9732259570494866,0.9910830999066294
Cand-Obs,candidate_observability,42,E,27,27,369,0.9264956888105037,0.15403228691924556,0.8727807172251616,0.9768371546149324,1.0
Cand-Obs,candidate_observability,42,I,36,36,488,0.8902791247824461,0.15609237276913912,0.8101193090323525,0.9701388888888888,0.9851851851851853
Cand-Obs,candidate_observability,123,E,27,27,384,0.8038080540858318,0.2515387951088164,0.6912404467960024,0.8953703703703704,0.9594650205761317
Cand-Obs,candidate_observability,123,I,36,36,531,0.8625164983120128,0.22536343595430125,0.7737608932461874,0.9342031425364757,0.969311167227834
Degree,degree,7,E,28,28,417,0.6731159561888729,0.31893558889112944,0.522704081632653,0.7609126984126985,0.818452380952381
Degree,degree,7,I,35,35,558,0.812561707941592,0.2550197968725719,0.6881886087768441,0.9336367880485528,0.9718020541549953
Degree,degree,42,E,27,27,369,0.7859610768175583,0.26002480405222966,0.6430335097001764,0.9280570252792475,0.9722222222222222
Degree,degree,42,I,36,36,488,0.8097954687779567,0.2672679030617958,0.702878421900161,0.8982655662909286,0.9627616747181964
Degree,degree,123,E,27,27,384,0.73234882258802,0.26362096495726983,0.5401234567901235,0.9347736625514402,0.9786008230452674
Degree,degree,123,I,36,36,531,0.7887531140529878,0.2543437450170351,0.6567059483726151,0.9516694725028059,0.9858305274971941
Two-stage v1,two_stage_balanced_layout_v1,7,E,28,28,417,0.8320507369614513,0.21195114466854295,0.7333616780045352,0.9000850340136054,0.9583333333333333
Two-stage v1,two_stage_balanced_layout_v1,7,I,35,35,558,0.8265003929006487,0.2620039230459279,0.7130038972110583,0.9214285714285714,0.9827122153209109
Two-stage v1,two_stage_balanced_layout_v1,42,E,27,27,369,0.8650920053312029,0.20816648961228137,0.7809229864785421,0.9375367430922986,0.9814814814814815
Two-stage v1,two_stage_balanced_layout_v1,42,I,36,36,488,0.8770208700764256,0.2294447806521775,0.7986111111111112,0.9521604938271605,0.9922839506172839
Two-stage v1,two_stage_balanced_layout_v1,123,E,27,27,384,0.8189210595074793,0.20369050573301198,0.6766460905349795,0.9763374485596708,0.9763374485596708
Two-stage v1,two_stage_balanced_layout_v1,123,I,36,36,531,0.9302574354657688,0.13341609893260875,0.8691428170594837,0.9984567901234568,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,E,28,28,417,0.8268270502645503,0.2422763131200337,0.7232142857142857,0.912202380952381,0.9841269841269842
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,I,35,35,558,0.8725405959485244,0.22225705968898168,0.7957282913165267,0.9593137254901961,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,E,27,27,369,0.9062463256907702,0.16790098061552292,0.8389182833627279,0.9807466196355086,0.9966931216931216
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,I,36,36,488,0.8490347749405721,0.18529624208868856,0.7323400063436295,0.9683943907675793,0.9886574074074075
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,E,27,27,384,0.8650499706055262,0.1977430509869962,0.7592151675485008,0.9711934156378601,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,I,36,36,531,0.8513312526656753,0.23633370244459734,0.7546296296296297,0.9398148148148149,0.9861111111111112
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,E,28,28,417,0.7787605362010124,0.2599197477800024,0.6346513605442177,0.9166666666666667,0.982638888888889
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,I,35,35,558,0.8930389595451708,0.19147007075466135,0.8232523444160272,0.9579131652661064,0.9763305322128851
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,E,27,27,369,0.8975560276486202,0.17919590310117242,0.8299823633156966,0.9593621399176955,0.9984567901234568
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,I,36,36,488,0.8951582213709831,0.1662433806970381,0.8172906602254428,0.9776234567901234,0.9907407407407407
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,E,27,27,384,0.8897633744855967,0.17393556260624488,0.807201646090535,0.9938271604938271,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,I,36,36,531,0.8964675692106248,0.212243530287074,0.8311938832772167,0.9695216049382717,1.0
