method_short,method,defect_type,seed_count,scenario_count_mean,scenario_count_min,scenario_count_max,scenario_mrr_mean,scenario_mrr_std_across_seed,scenario_top1_mean,scenario_top1_std_across_seed,scenario_top3_mean,scenario_top3_std_across_seed,scenario_top5_mean,scenario_top5_std_across_seed
Cand-Obs,candidate_observability,E,3,27.333333333333332,27,28,0.8400235749006693,0.07521540926379851,0.7562893675988914,0.10111359977426153,0.899201450127376,0.07579281765115058,0.9516007740544777,0.052772671808161115
Cand-Obs,candidate_observability,I,3,35.666666666666664,35,36,0.8808209499628528,0.015855072294552568,0.7970701365746122,0.020234509885923093,0.9591893294916171,0.021693654633901507,0.9818598174398829,0.011260453637559379
Degree,degree,E,3,27.333333333333332,27,28,0.7304752851981503,0.056445884873824737,0.5686203493743176,0.06502958926504641,0.8745811287477955,0.098497016935515,0.9230918087399568,0.09067650755790285
Degree,degree,I,3,35.666666666666664,35,36,0.8037034302575122,0.013021020917695253,0.68259099301654,0.023589707598081513,0.9278572756140958,0.02716700890154784,0.973464752123462,0.0116239586860727
Two-stage v1,two_stage_balanced_layout_v1,E,3,27.333333333333332,27,28,0.8386879339333778,0.023790299436901134,0.7303102516726856,0.0522053748085403,0.9379864085551916,0.038128196001091366,0.9720507544581619,0.01215487558192544
Two-stage v1,two_stage_balanced_layout_v1,I,3,35.666666666666664,35,36,0.8779262328142811,0.051884445951849226,0.7935859417938844,0.07819066323966274,0.9573486184597296,0.038775302664570875,0.9916653886460649,0.008660475677572008
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,E,3,27.333333333333332,27,28,0.8660411155202823,0.03971891367457048,0.7737825788751715,0.05921157718325013,0.9547141387419166,0.03712483117028649,0.9936067019400353,0.008374523771262106
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,I,3,35.666666666666664,35,36,0.857635541184924,0.012959125958756602,0.7608993090965953,0.032155875488239706,0.9558409770241968,0.014602843108142787,0.9915895061728396,0.0073941335543565405
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,E,3,27.333333333333332,27,28,0.8553599794450765,0.06645139118036004,0.7572784566501497,0.10680727406807704,0.9566186556927297,0.03865333725802071,0.9936985596707819,0.009608986030464286
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,I,3,35.666666666666664,35,36,0.8948882500422596,0.0017301746872095526,0.8239122959728956,0.0069750666555886,0.9683527423315005,0.00990699640837552,0.9890237576512085,0.011927780578490822
