method_short,method,seed,duration_h,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
Cand-Obs,candidate_observability,7,6,14,14,78,0.8332251082251083,0.2645648357305981,0.7476190476190476,0.8928571428571429,0.9285714285714286
Cand-Obs,candidate_observability,7,12,11,11,132,0.833459595959596,0.27859633182348154,0.7575757575757577,0.8863636363636364,1.0
Cand-Obs,candidate_observability,7,18,21,21,369,0.8282912884570214,0.2403334040758566,0.7325241207594149,0.907096171802054,0.9309056956115779
Cand-Obs,candidate_observability,7,24,17,17,396,0.8837943705910458,0.2185246545136635,0.8123097064912921,0.9338235294117647,0.9534313725490196
Cand-Obs,candidate_observability,42,6,18,18,94,0.8575617283950617,0.2068186891573915,0.7574074074074074,0.9425925925925925,0.9703703703703703
Cand-Obs,candidate_observability,42,12,16,16,181,0.9517045454545454,0.10054660072044755,0.9142992424242424,1.0,1.0
Cand-Obs,candidate_observability,42,18,16,16,278,0.9366550925925926,0.08830131077685562,0.9013888888888889,0.9638888888888889,1.0
Cand-Obs,candidate_observability,42,24,13,13,304,0.8781205207835642,0.181045284064608,0.77269469660774,0.9931318681318682,1.0
Cand-Obs,candidate_observability,123,6,17,17,93,0.8297930283224401,0.2662846566310893,0.7352941176470589,0.892156862745098,0.9607843137254901
Cand-Obs,candidate_observability,123,12,11,11,127,0.9071092417683327,0.13211854845833845,0.856060606060606,0.9538567493112947,0.96900826446281
Cand-Obs,candidate_observability,123,18,22,22,389,0.8066247933810898,0.2581007426173784,0.6905228758169935,0.894949494949495,0.9666666666666667
Cand-Obs,candidate_observability,123,24,13,13,306,0.8402294464794464,0.2402187231483536,0.723901098901099,0.9583333333333334,0.9647435897435896
Degree,degree,7,6,14,14,78,0.6974446849446849,0.34816979022711086,0.5595238095238095,0.7738095238095238,0.8333333333333333
Degree,degree,7,12,11,11,132,0.757070707070707,0.2501237768782097,0.5757575757575757,0.9545454545454546,0.9924242424242423
Degree,degree,7,18,21,21,369,0.7275290176550383,0.30014564734898425,0.6001556178026766,0.8067226890756303,0.8815748521630875
Degree,degree,7,24,17,17,396,0.8186349302049994,0.265397197807989,0.7030812324929973,0.9240196078431372,0.9313725490196079
Degree,degree,42,6,18,18,94,0.7616622574955908,0.31188258079448916,0.6185185185185185,0.9166666666666666,0.9814814814814815
Degree,degree,42,12,16,16,181,0.9157986111111112,0.16468488037795967,0.8402777777777778,1.0,1.0
Degree,degree,42,18,16,16,278,0.7746610449735449,0.2559192540564422,0.6555555555555556,0.8472222222222222,0.9479166666666666
Degree,degree,42,24,13,13,304,0.7397162167542602,0.2777100556573015,0.5845277910495301,0.8722726548813505,0.9289297658862876
Degree,degree,123,6,17,17,93,0.7633986928104575,0.2684712437724986,0.5980392156862745,0.9705882352941176,1.0
Degree,degree,123,12,11,11,127,0.7392757638367141,0.2846692744111556,0.5860881542699725,0.8973829201101928,0.928374655647383
Degree,degree,123,18,22,22,389,0.7331930415263749,0.2698211782848024,0.5656565656565656,0.9186868686868688,0.9863636363636363
Degree,degree,123,24,13,13,306,0.8406517094017094,0.20890981494110672,0.7051282051282051,0.9935897435897435,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,6,14,14,78,0.7653533635676493,0.25662120662858146,0.6428571428571429,0.8452380952380952,0.9285714285714286
Two-stage v1,two_stage_balanced_layout_v1,7,12,11,11,132,0.834469696969697,0.29136016844333934,0.7651515151515151,0.8257575757575758,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,18,21,21,369,0.860241504009011,0.20269936295868532,0.7484905073140367,0.9841269841269842,0.992063492063492
Two-stage v1,two_stage_balanced_layout_v1,7,24,17,17,396,0.8391617085670794,0.24255467892680482,0.726723298014858,0.9334733893557423,0.9644075021312872
Two-stage v1,two_stage_balanced_layout_v1,42,6,18,18,94,0.791358024691358,0.2872500790667045,0.6666666666666666,0.8981481481481483,0.9907407407407407
Two-stage v1,two_stage_balanced_layout_v1,42,12,16,16,181,0.9557291666666666,0.11125208071295999,0.9114583333333334,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,42,18,16,16,278,0.8638514745285578,0.16967694853921006,0.7798611111111111,0.9409722222222222,0.9826388888888888
Two-stage v1,two_stage_balanced_layout_v1,42,24,13,13,304,0.8901923663942894,0.24437319908164884,0.8287545787545787,0.9514652014652014,0.9743589743589743
