method_short,method,intensity_pct,seed_count,scenario_count_mean,scenario_count_min,scenario_count_max,scenario_mrr_mean,scenario_mrr_std_across_seed,scenario_top1_mean,scenario_top1_std_across_seed,scenario_top3_mean,scenario_top3_std_across_seed,scenario_top5_mean,scenario_top5_std_across_seed
Cand-Obs,candidate_observability,40,3,18.666666666666668,14,23,0.8107328969388238,0.07116230218193702,0.7197544660561217,0.0709166838700957,0.8759534285479904,0.09922125782801071,0.9247556878193572,0.059861083373544496
Cand-Obs,candidate_observability,50,3,22.0,16,31,0.8778380964479023,0.040184526141652764,0.8050275412897211,0.06085661339851204,0.9376015924668302,0.025126324543784915,0.9766636994592215,0.01334256435088631
Cand-Obs,candidate_observability,60,3,22.333333333333332,18,28,0.8828161205803747,0.04737833003233879,0.7877433892114402,0.07302045112885445,0.9728777622159975,0.03839522332863415,0.9988036881419234,0.0020720729198857616
Degree,degree,40,3,18.666666666666668,14,23,0.7092563100632258,0.054052738033885814,0.5385701297600611,0.06830028175744245,0.8764912390770515,0.07730037673619,0.9151433425460885,0.07968673999222153
Degree,degree,50,3,22.0,16,31,0.7810894912410272,0.04745980209329806,0.64815290695767,0.06719812375831853,0.8825140705267532,0.06039441269407981,0.9482032631934363,0.04426038565935326
Degree,degree,60,3,22.333333333333332,18,28,0.799989003062405,0.06342175050038512,0.6733047902467483,0.09215188856764892,0.9439646228861914,0.023210224852405214,0.9789915966386555,0.017098849079866144
Two-stage v1,two_stage_balanced_layout_v1,40,3,18.666666666666668,14,23,0.8291475580088302,0.0910898956811281,0.7458815572087882,0.11888681207619775,0.8967724262346688,0.09670835913671412,0.9655267395541994,0.031119604882862886
Two-stage v1,two_stage_balanced_layout_v1,50,3,22.0,16,31,0.8761165569788059,0.02511278593854265,0.7763605923410677,0.059544796326125526,0.9736910881594668,0.024012067043255054,0.9914628922215935,0.004081310101301276
Two-stage v1,two_stage_balanced_layout_v1,60,3,22.333333333333332,18,28,0.8607042227258672,0.010736169316291705,0.7513733532255434,0.020332532967490886,0.9698706643151088,0.015415292772136659,0.9898589065255732,0.009384390058991488
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,40,3,18.666666666666668,14,23,0.8190792996514006,0.04083228888727808,0.7080926509937817,0.054919331813839005,0.9300502161200103,0.037138680447389855,0.9850503371956462,0.00819403597132758
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,50,3,22.0,16,31,0.898692930128357,0.018812176405726088,0.8259175275242024,0.01933493544029372,0.9796978890706977,0.022362014685329747,0.99081541218638,0.010633014593464015
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,60,3,22.333333333333332,18,28,0.8491777610212906,0.03930566076906341,0.7406794099086959,0.06912292517310108,0.949381926683717,0.039712202378590286,0.9991181657848324,0.0015273816645228354
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,40,3,18.666666666666668,14,23,0.8575174615994375,0.07241223749896222,0.7669974079130762,0.1127434655661375,0.9451459264102285,0.045946289694622756,0.9883911166805904,0.013744682981328348
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,50,3,22.0,16,31,0.8928323896375902,0.04510086113693339,0.8244205529992974,0.0687124952036681,0.9734705126391248,0.024661447562807297,0.9895833333333334,0.018042195912175797
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,60,3,22.333333333333332,18,28,0.8636718800876131,0.026999482756151574,0.7649088788152748,0.0411476919632705,0.9619060587197842,0.020962300833073547,0.9921218487394959,0.013645358252906022
