method_key,method_short,method,budget,layout_seed,layout_file,direct,near,far,mean_hop,max_hop,overlap_count,monitor_dispersion_mean_hop,monitor_redundancy_mean_jaccard,global_mean_hop,overlap_cap,monitor_nodes
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_1\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed1.json,15,35,0,0.96,2.0,15,12.4,0.0928780802530802,1.3125,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|MH0242782|HS1316267|HS1313640|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313959|HS1313044|HS1308324
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,2,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_2\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed2.json,15,34,1,0.98,3.0,15,12.453333333333331,0.0929743173493173,1.375,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|HS1313618|HS1316267|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313959|HS1313044|HS1308324|MH0201597
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,3,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_3\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed3.json,15,35,0,0.96,2.0,15,12.4,0.0928780802530802,1.3125,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|MH0242782|HS1316267|HS1313640|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313959|HS1313044|HS1308324
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,4,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_4\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed4.json,15,34,1,0.96,3.0,15,12.496666666666666,0.0917000499500499,1.3515625,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|HS1313925|HS1316302|HS1313640|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313044|HS1308324|MH0201597
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,5,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_5\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed5.json,15,34,1,0.96,3.0,15,12.496666666666666,0.0917000499500499,1.3515625,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|HS1313925|HS1316302|HS1313640|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313044|HS1308324|MH0201597
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,6,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_6\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed6.json,15,34,1,0.96,3.0,15,12.496666666666666,0.0917000499500499,1.3515625,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|HS1313925|HS1316302|HS1313640|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313044|HS1308324|MH0201597
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,7,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_7\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed7.json,15,34,1,0.96,3.0,15,12.496666666666666,0.0917000499500499,1.3515625,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|HS1313925|HS1316302|HS1313640|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313044|HS1308324|MH0201597
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,8,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_8\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed8.json,15,34,1,0.96,3.0,15,12.496666666666666,0.0917000499500499,1.3515625,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|HS1313925|HS1316302|HS1313640|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313044|HS1308324|MH0201597
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,9,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_9\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed9.json,15,34,1,0.96,3.0,15,12.496666666666666,0.0917000499500499,1.3515625,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1330842|HS1313253|HS1311339|HS1313925|HS1316302|HS1313640|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313044|HS1308324|MH0201597
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,10,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N25\layout_seed_10\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N25_layoutseed10.json,15,34,1,0.98,3.0,15,12.453333333333331,0.0929743173493173,1.375,15,HS1306601|HS1316585|HS1313025|HS1313835|MH0201710|HS1314477|HS2003111|HS1316721|HS1313402|HS1313298|HS1316202|HS1313253|HS1330842|HS1311339|HS1313618|HS1316267|HS1313487|HS2003013|HS1316835|HS1316676|HS1311284|HS1313959|HS1313044|HS1308324|MH0201597
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v2_2_clean_generalization\N25\layout_seed_1\monitor_nodes_learnable_layout_network_v2_2_clean_generalization_N25_layoutseed1.json,12,37,1,1.1,3.0,12,12.796666666666669,0.0912528027528027,1.3203125,12,HS1306904|HS1316585|HS1313025|MH0201710|HS1313835|HS1314477|HS1306601|HS2003111|HS1316721|HS1316267|HS1313298|HS1313253|HS1330842|MH0241587|HS1313487|HS1311887|HS1316445|HS2003013|HS1316835|HS1316676|HS1313959|HS1311284|HS1313044|HS1308301|MH0242303
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v2_2_clean_generalization\N25\layout_seed_2\monitor_nodes_learnable_layout_network_v2_2_clean_generalization_N25_layoutseed2.json,12,37,1,1.1,3.0,12,12.796666666666669,0.0912528027528027,1.3203125,12,HS1306904|HS1316585|HS1313025|MH0201710|HS1313835|HS1314477|HS1306601|HS2003111|HS1316721|HS1316267|HS1313298|HS1313253|HS1330842|MH0241587|HS1313487|HS1311887|HS1316445|HS2003013|HS1316835|HS1316676|HS1313959|HS1311284|HS1313044|HS1308301|MH0242303
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,3,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v2_2_clean_generalization\N25\layout_seed_3\monitor_nodes_learnable_layout_network_v2_2_clean_generalization_N25_layoutseed3.json,12,37,1,1.08,3.0,12,12.37,0.0944877113627113,1.3046875,12,HS1306904|HS1316585|HS1313025|MH0201710|HS1313835|HS1314477|HS2003111|HS1306601|HS1316721|HS1316267|HS1313298|HS1313253|HS1330842|MH0241587|HS1311887|HS1313487|HS1316445|HS2003013|HS1316676|HS1316835|HS1313959|HS1311284|HS1313044|HS1308324|HS1313794
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,4,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v2_2_clean_generalization\N25\layout_seed_4\monitor_nodes_learnable_layout_network_v2_2_clean_generalization_N25_layoutseed4.json,12,37,1,1.08,3.0,12,12.663333333333334,0.0910246281496281,1.296875,12,HS1306904|HS1316585|HS1313025|MH0201710|HS1313835|HS1314477|HS2003111|HS1306601|HS1316721|HS1316267|HS1313298|HS1330842|HS1313253|MH0241587|HS1313487|HS1311887|HS1316445|HS2003013|HS1316676|HS1316835|HS1313959|HS1311284|HS1313044|MH0242303|HS1308324
