method_short,is_hard_candidate,mrr_mean,top1_mean,scenario_count,group
Cand-Obs,False,0.9098007989952434,0.8470859387526054,45,other
Cand-Obs,True,0.895799785292539,0.811694847020934,18,hard: far under Degree
Degree,False,0.8786485571147407,0.8041212330342765,45,other
Degree,True,0.601911159995399,0.3600040257648953,18,hard: far under Degree
Two-stage v1,False,0.8611154449117412,0.7667019400352734,45,other
Two-stage v1,True,0.8988911358703027,0.8518518518518519,18,hard: far under Degree
v0_2 clean,False,0.8798891956138333,0.7886996256561474,45,other
v0_2 clean,True,0.8577160493827161,0.7513083735909823,18,hard: far under Degree
v2_2 clean,False,0.9209930878449397,0.8622486772486773,45,other
v2_2 clean,True,0.8341677646025472,0.7239331723027376,18,hard: far under Degree
